isocode,glottocode
san,sans1269
fro,oldf1239
kat,nucl1302
hin,hind1269
msa,stan1306
sqi,alba1267
tha,thai1261
mya,nucl1310
jav,java1254
tuk,turk1304
vie,viet1252
deu,stan1295
chu,chur1257
urd,urdu1245
nld,dutc1256
tur,nucl1301
eng,stan1293
aze,nort2697
bre,bret1244
hsb,uppe1395
heb,hebr1245
kir,kirg1245
yor,yoru1245
sna,shon1251
lat,lati1261
hun,hung1274
kur,kurd1259
ind,indo1316
pan,panj1256
dan,dani1285
orm,east2652
mar,mara1378
mkd,mace1250
som,soma1255
glg,gali1258
swa,swah1253
hye,nucl1235
fao,faro1244
xho,xhos1239
cat,stan1289
fas,west2369
mlt,malt1254
slv,slov1268
nob,norw1259
afr,afri1274
pcm,nige1257
grc,anci1242
slk,slov1269
lav,latv1249
ces,czec1258
pol,poli1260
ilo,ilok1237
got,goth1244
spa,stan1288
kin,kiny1244
kor,kore1280
zho,mand1415
kaz,kaza1248
kmr,nort2641
hrv,croa1245
lao,laoo1244
nor,norw1258
mon,mong1331
cmn,mand1415
fin,finn1318
sme,nort2671
bel,bela1254
bos,bosn1245
epo,espe1235
fra,stan1290
gle,iris1253
ukr,ukra1253
ara,stan1318
ben,beng1280
est,esto1258
bul,bulg1262
amh,amha1245
por,port1283
nya,nyan1308
yue,yuec1235
lit,lith1251
swe,swed1254
rus,russ1263
tir,tigr1271
ceb,cebu1242
cop,copt1239
wbp,warl1254
tel,telu1262
tgk,taji1245
kpv,komi1268
swl,swed1236
zul,zulu1248
eus,basq1248
uig,uigh1240
tam,tami1289
ron,roma1327
jpn,nucl1643
srp,serb1264
tgl,taga1270
hau,haus1257
ckb,cent1972
ell,mode1248
ita,ital1282
bxr,russ1264
uzb,uzbe1247
