task_lang,transfer_lang,accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
ces,rus,69.43,5,25,0.161485819,55398,12203,4.539703351634844,0.123916395,0.209224843,0.1662484407397117,0.4,0.4775,0.4293,0.0,0.4034,0.1549,0.404,2.816,0.3498,0.07230146107799118
ces,nor,56.03,16,14,0.172351737,34170,12203,2.8001311152995165,0.106159434,0.209224843,0.2426606523494027,0.8333,0.4841,0.5588,0.4078,0.6169,0.0483,,3.094,0.1864,0.10794226633533388
ces,spa,58.19,10,20,0.224964372,31546,12203,2.5851020240924365,0.0791871859999999,0.209224843,0.3862884921900736,0.9231,0.4891,0.5087,0.4078,0.5431,0.0675,,3.002,0.0,0.08576096441213876
ces,kor,18.38,29,1,0.117808139,30426,12203,2.4933213144308777,0.294432976,0.209224843,0.1658576844364672,1.0,0.6855,0.6329,0.5342,0.6216,0.3125,0.5345,3.074,0.2566,0.12912499975512093
ces,est,52.31,21,9,0.163621065,23460,12203,1.922478079160862,0.221928097,0.209224843,0.0036864085306283,1.0,0.5268,0.5233,,,0.0506,0.5159,3.174,,0.07562744164743462
ces,pol,65.61,7,23,0.175644586,22646,12203,1.8557731705318363,0.223329008,0.209224843,0.0045443132295088,0.3333,0.4676,0.4742,0.3125,0.4653,0.0137,0.5226,2.854,0.0,0.09641930135357979
ces,nld,57.25,12,18,0.147181136,19452,12203,1.5940342538719987,0.133302703,0.209224843,0.1316771386159033,0.9,0.4882,0.4808,0.4121,0.4427,0.0308,0.5159,3.066,0.0,0.0759445466905394
ces,por,58.1,11,19,0.21305272,19763,12203,1.6195197902155207,0.095460698,0.209224843,0.2956543771754236,0.9333,0.5008,0.4703,0.3125,0.4431,0.0706,0.4632,3.07,0.0,0.07402979937775533
ces,lat,41.35,24,6,0.014406825,17140,12203,1.4045726460706385,0.158874645,0.209224843,0.0579129735198895,0.8333,0.4901,0.4604,0.4078,0.4809,0.0375,0.3383,3.098,0.0,0.07226197725881778
ces,fra,56.98,14,16,0.176247708,16032,12203,1.3137753011554536,0.118520741,0.209224843,0.1879435192476242,0.9375,0.5625,0.516,0.4467,0.4713,0.0403,0.4829,3.088,0.0,0.0830205597492526
ces,deu,57.21,13,17,0.157244512,14613,12203,1.1974924198967467,0.187631727,0.209224843,0.0106513372142903,0.8571,0.4994,0.4802,0.4121,0.4728,0.0097,,3.174,0.0,0.07174321206974388
ces,hin,28.54,28,2,0.0298447929999999,14963,12203,1.2261738916659837,0.060393443,0.209224843,0.5060141165439032,0.875,0.5807,0.5598,0.4467,0.5509,0.232,0.5159,3.104,0.4287,0.10573206678271818
ces,cat,56.48,15,15,0.1973277819999999,14832,12203,1.2154388265180691,0.074013319,0.209224843,0.4176388723005271,0.9091,0.5154,0.4878,0.3125,0.4663,0.0521,0.476,3.018,0.0,0.08183730925875554
ces,ita,60.22,9,21,0.1923082539999999,13685,12203,1.1214455461771695,0.102554534,0.209224843,0.2599325126929821,0.9,0.4917,0.4697,0.2301,0.4371,0.0322,0.4949,3.076,0.0,0.06022590179629039
ces,eng,53.43,20,10,0.153168577,14545,12203,1.191920019667295,0.0961556319999999,0.209224843,0.292053370079109,0.9,0.5199,0.5376,0.369,0.5368,0.0481,0.5999,2.988,0.1864,0.1786738965477489
ces,fin,49.26,22,8,0.125395799,13581,12203,1.1129230517085962,0.302519355,0.209224843,0.1988317309982627,1.0,0.5298,0.4973,0.3125,0.4818,0.0724,0.4813,3.16,0.0,0.08000760942392826
ces,bul,66.39,6,24,0.0897727109999999,10022,12203,0.8212734573465541,0.201446082,0.209224843,0.0013822746867964,0.5714,0.4977,0.4499,0.0,0.4507,0.0432,,2.76,0.0,0.07933343104474266
ces,slv,72.28,2,28,0.1624780519999999,9290,12203,0.7612882078177498,0.237767323,0.209224843,0.0186104515024004,0.5,0.4104,0.4106,0.0,0.4204,0.0167,0.4434,2.785,0.0,0.05068807762007732
ces,slk,72.54,1,29,0.156466291,9543,12203,0.7820208145537982,0.261917468,0.209224843,0.0634268535464013,0.1667,,,,,0.0126,,2.873,0.0,0.13289808190092767
ces,ron,61.38,8,22,0.162040302,8795,12203,0.7207244120298287,0.167303215,0.209224843,0.0401466931333328,0.8889,0.5071,0.4617,0.3125,0.4494,0.0321,,3.055,0.0,0.07660397330734059
ces,hrv,70.88,3,27,0.171198996,7832,12203,0.6418093911333279,0.216688845,0.209224843,0.0012726734758101,0.625,0.4124,0.3663,0.0,0.3539,0.0221,0.3143,3.078,0.0,0.050393903282658026
ces,ara,37.25,25,5,0.062301493,6984,12203,0.5723182823895764,0.1033986809999999,0.209224843,0.2558347830441369,1.0,0.6552,0.5911,,,0.1391,0.4744,3.193,0.5335,0.08265530987428416
ces,lav,53.61,19,11,0.073274415,6475,12203,0.5306072277308859,0.268650981,0.209224843,0.0806730567633648,0.5,0.3951,0.3689,0.0,,0.0407,0.3602,2.86,0.0,0.0517800568343596
ces,heb,36.05,26,4,0.080059534,5725,12203,0.4691469310825207,0.117344567,0.209224843,0.1928493062689516,1.0,0.5507,0.5423,0.5342,0.5584,0.1085,0.5047,3.19,0.5829,0.07999163896010941
ces,ukr,69.55,4,26,0.062262582,5090,12203,0.4171105465869049,0.31926283,0.209224843,0.276604201523175,0.5,0.4328,0.3892,0.2301,0.3804,0.029,0.3291,2.895,0.3498,0.048505736289096824
ces,ind,44.24,23,7,0.0854535819999999,5036,12203,0.4126854052282225,0.197096308,0.209224843,0.003360393920574,1.0,0.6453,0.5952,0.3125,0.4724,0.391,0.8121,3.22,0.3776,0.10633694863634824
ces,dan,55.36,17,13,0.067155649,4947,12203,0.4053921166926165,0.203165045,0.209224843,0.0008388605939638,0.8571,0.4772,0.4838,,,0.028,0.4856,3.084,0.1864,0.06157357427041321
ces,swe,53.67,18,12,0.045628098,4807,12203,0.3939195279849217,0.193727962,0.209224843,0.0054860794770604,0.8571,0.5113,0.5288,0.3125,0.573,0.0459,0.5225,3.113,0.1864,0.08910588378558781
ces,zho,35.64,27,3,0.06283652,4497,12203,0.3685159387035975,0.178585916,0.209224843,0.0214447309807362,1.0,0.6451,0.6763,0.5207,0.6367,0.2837,0.8694,3.07,0.4848,0.15643530734713695
rus,ces,69.33,2,28,0.19612372,114304,6491,17.609613310737945,0.091965586,0.247722217,0.3953330959721628,0.5714,0.4775,0.4293,0.0,0.4034,0.1549,0.404,2.816,0.3498,0.07230146107799118
rus,nor,52.52,18,12,0.179768003,34170,6491,5.264211985826529,0.106159434,0.247722217,0.3265639704074319,0.8333,0.4298,0.5608,0.4054,0.6556,0.149,,3.06,0.3918,0.10971737182716035
rus,spa,55.98,12,18,0.197905036,31546,6491,4.859959944538592,0.0791871859999999,0.247722217,0.462860856161397,0.9231,0.4239,0.4642,0.3613,0.5273,0.2163,,2.973,0.3498,0.0653983730741522
rus,kor,18.65,29,1,0.143962703,30426,6491,4.6874133415498385,0.294432976,0.247722217,0.0355552660058804,1.0,0.5945,0.6083,0.5641,0.6511,0.1814,0.5942,3.045,0.4259,0.12234377719130973
rus,est,53.59,16,14,0.184992628,23460,6491,3.614235094746572,0.221928097,0.247722217,0.0108420527442406,1.0,0.5071,0.5257,,,0.1182,0.5507,3.148,,0.06220841666831611
rus,pol,61.85,7,23,0.133385608,22646,6491,3.488830688645818,0.223329008,0.247722217,0.0096963427221557,0.5,0.4847,0.481,0.2804,0.4949,0.1425,0.4984,2.928,0.3498,0.08196617342538481
rus,nld,56.05,11,19,0.18130215,19452,6491,2.996764751193961,0.133302703,0.247722217,0.2133390129055107,0.9,0.5391,0.5237,0.4121,0.5297,0.1739,0.4591,3.033,0.3498,0.09096897153677952
rus,por,54.02,15,15,0.1954844919999999,19763,6491,3.044677245416731,0.095460698,0.247722217,0.3777899495139006,0.9333,0.4985,0.4838,0.3125,0.47,0.219,0.4825,3.045,0.3498,0.07708132697990977
rus,lat,39.6,25,5,6.82e-05,17140,6491,2.640579263595748,0.158874645,0.247722217,0.1286356104657033,0.8333,0.4879,0.4707,0.3824,0.4457,0.1802,0.4419,3.072,0.3498,0.07079750589994327
rus,fra,55.53,13,17,0.167511868,16032,6491,2.4698813742104453,0.118520741,0.247722217,0.272022629233042,0.9375,0.5515,0.5353,0.4359,0.5152,0.1897,0.5257,3.062,0.3498,0.09846380829785317
rus,deu,56.17,10,20,0.1887939039999999,14613,6491,2.2512709906023725,0.187631727,0.247722217,0.0588412072587547,0.8571,0.4035,0.461,0.3743,0.5184,0.1639,,3.146,0.3498,0.08138335747980197
rus,hin,28.19,28,2,0.051001884,14963,6491,2.305191804036358,0.060393443,0.247722217,0.5718459708485517,0.875,0.5154,0.558,0.4359,0.6015,0.1311,0.5654,3.072,0.5187,0.11578855296474155
rus,cat,53.02,17,13,0.18093566,14832,6491,2.285010013865352,0.074013319,0.247722217,0.4917158574026696,0.9091,0.5412,0.51,0.2804,0.4706,0.202,0.5184,2.988,0.3498,0.0880024912522841
rus,ita,56.68,9,21,0.183390296,13685,6491,2.1083038052688337,0.102554534,0.247722217,0.3434076567769989,0.9,0.5419,0.5025,0.2301,0.4693,0.1768,0.4825,3.049,0.3498,0.07070678240771588
rus,eng,51.88,20,10,0.161187771,14545,6491,2.240794946849484,0.0961556319999999,0.247722217,0.3743492908681768,0.9,0.508,0.5335,0.3333,0.5594,0.1849,0.567,2.953,0.3918,0.18197902049851
