task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
ben,amh,0.28,12,42,0.0002,2028,10000,0.2028,1.0,0.4924,0.5131,0.3695,0.5472,0.2159,,3.17,0.5541,0.12089146100100301
ben,ara,0.11,42,12,0.0,10000,10000,1.0,1.0,0.7308,0.7308,,,0.1836,,3.207,0.5132,0.10767069522206563
ben,aze,0.26,14,40,0.0001,10000,10000,1.0,1.0,0.4078,0.5579,0.4278,0.5986,0.1773,,3.086,,0.09582649859096692
ben,cat,0.26,14,40,0.0,10000,10000,1.0,0.9091,0.6172,0.507,0.2566,0.4961,0.3027,,3.012,0.6185,0.11837773812428931
ben,ceb,0.16,39,15,0.0,10000,10000,1.0,1.0,0.8211,0.5544,0.2952,0.5158,0.1621,,3.152,0.6185,0.10573798071245666
ben,ckb,0.25,18,36,0.0,6279,10000,0.6279,0.75,0.6791,0.5566,0.3021,0.5666,0.1764,,2.932,0.5893,0.09771338481238412
ben,deu,0.26,14,40,0.0,10000,10000,1.0,0.8571,0.4698,0.4993,0.3578,0.5404,0.2744,,3.137,0.6185,0.09145189564907208
ben,fas,0.22,26,28,0.0,10000,10000,1.0,1.0,0.6334,0.5276,0.3578,0.5182,0.1412,,2.883,,0.10028584687974917
ben,fra,0.22,26,28,0.0,10000,10000,1.0,0.9375,0.5582,0.4769,0.3021,0.4753,0.3001,,3.086,0.6185,0.09121171892504087
ben,hau,0.21,32,22,0.0,1071,10000,0.1071,1.0,0.6836,0.5705,0.3578,0.5666,0.3228,,3.102,0.5893,0.12351219978368355
ben,hin,0.45,2,52,0.0,10000,10000,1.0,0.625,0.3729,0.3499,0.3021,0.3481,0.0542,,2.963,0.3891,0.07625644543121002
ben,hun,0.23,22,32,0.0,10000,10000,1.0,1.0,0.5,0.5043,0.3695,0.5319,0.2566,,3.135,0.6185,0.11512265337788585
ben,ilo,0.22,26,28,0.0002,3549,10000,0.3549,1.0,0.6879,0.4917,0.2952,0.443,0.1355,,3.24,0.6185,0.10973932805327002
ben,ind,0.35,6,48,0.0,10000,10000,1.0,1.0,0.6897,0.5367,0.2566,0.5144,0.1639,,3.227,0.5893,0.09625322471839381
ben,ita,0.32,7,47,0.0,10000,10000,1.0,0.9,0.6185,0.5615,0.2952,0.5625,0.2771,,3.078,0.6185,0.11339070213035185
ben,jav,0.27,13,41,0.0,9243,10000,0.9243,1.0,0.711,0.5035,0.4407,0.4621,0.1428,,3.059,0.6185,0.10075461064230062
ben,kaz,0.2,33,21,0.0,10000,10000,1.0,1.0,0.0,0.0,0.0,,0.1213,,3.195,0.5893,0.11803252789124252
ben,kin,0.07,48,6,0.0,864,10000,0.0864,1.0,0.765,0.5588,0.4097,0.5182,0.2729,,3.193,0.6185,0.11696438637948159
ben,kir,0.22,26,28,0.0,10000,10000,1.0,1.0,0.2804,0.4777,0.3578,0.5337,0.1014,,3.236,0.5893,0.06850535487483411
ben,kur,0.25,18,36,0.0,4006,10000,0.4006,1.0,0.6482,0.5506,0.3021,0.5666,0.1762,,2.844,0.5893,0.09166773384327309
ben,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.6572,0.5417,0.2952,0.522,0.072,,3.135,0.4246,0.09959856471593986
ben,mar,0.48,1,53,0.0002,10000,10000,1.0,0.5714,0.3173,0.3718,0.369,0.3908,0.0631,,2.979,0.1722,0.07493060660353856
ben,mlt,0.08,47,7,0.0,1390,10000,0.139,1.0,0.6836,0.5707,0.3613,0.578,0.2772,,3.139,0.6185,0.11404687048786821
ben,mya,0.02,51,3,0.0,3282,10000,0.3282,1.0,0.4485,0.4309,0.2513,0.4589,0.0223,,3.168,0.4246,0.09104468791607956
ben,msa,0.41,3,51,0.0,10000,10000,1.0,1.0,0.7509,0.5842,0.2952,0.5867,0.1075,,3.299,,0.11936586836207497
ben,nld,0.18,36,18,0.0,10000,10000,1.0,0.9,0.5069,0.4874,0.195,0.5193,0.2898,,3.035,0.6185,0.09857083989865523
