task_lang,transfer_lang,accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological
pcm,bxr,0.2588,16,45,0.0008403361344537,927,948,0.9778481012658228,0.6023336111441838,0.0925206033276318,30.36301626333194,1.0,0.6502,0.6195,0.0,,0.3632,
pcm,kmr,0.2825,10,51,0.015126050420168,754,948,0.7953586497890295,0.3877346961448728,0.0925206033276318,10.18115992495738,0.9273,0.6931,0.5353,0.3695,0.5057,0.1959,
pcm,hsb,0.2642,13,48,0.0226890756302521,646,948,0.6814345991561181,0.5423194196193881,0.0925206033276318,23.6352229913148,0.9139,,,,,0.1878,
pcm,kaz,0.3111,7,54,0.0008403361344537,1078,948,1.1371308016877637,0.6191198786039454,0.0925206033276318,32.39541903109942,1.0,0.7323,0.5319,0.0,,0.2679,
pcm,hye,0.2966,9,52,0.0008403361344537,564,948,0.5949367088607594,0.5479001354751306,0.0925206033276318,24.22535226114256,0.8886,0.6028,0.5418,0.5032,0.4815,0.2074,
pcm,swl,0.1052,43,18,0.0008403361344537,203,948,0.2141350210970464,0.4872907625542468,0.0925206033276318,18.205881906648266,1.0,,,,,0.2192,
pcm,lit,0.2967,8,53,0.0100840336134453,263,948,0.2774261603375527,0.5654157163591126,0.0925206033276318,26.12478588136606,0.8886,0.5268,0.5023,0.2952,0.4991,0.2112,
pcm,bel,0.0036,59,2,0.0008403361344537,393,948,0.4145569620253164,0.5525618374558304,0.0925206033276318,24.723878881548544,0.9037,0.5252,0.544,,,0.2061,
pcm,mar,0.2302,20,41,0.0016806722689075,466,948,0.4915611814345991,0.5290718671000361,0.0925206033276318,22.26350755500561,0.9214,0.6604,0.5453,0.3125,0.47,0.2974,
pcm,cop,0.1381,35,26,0.0025210084033613,514,948,0.5421940928270043,0.4940717882085432,0.0925206033276318,18.836703907488364,1.0,0.5903,0.5157,0.369,0.4412,0.1439,
pcm,tam,0.2806,11,50,0.0016806722689075,600,948,0.6329113924050633,0.5614149588826524,0.0925206033276318,25.6846171956668,1.0,0.6703,0.5385,0.2048,0.484,0.3076,
pcm,gle,0.2058,22,39,0.0369747899159663,1020,948,1.0759493670886076,0.3499300699300699,0.0925206033276318,7.740555288745085,0.9273,0.635,0.5339,0.2871,0.5029,0.1968,
pcm,hun,0.26,15,46,0.0218487394957983,1800,948,1.8987341772151896,0.4546198320061089,0.0925206033276318,15.317161347101475,1.0,0.5208,0.4598,0.3862,0.4132,0.1755,
pcm,tel,0.3165,5,56,0.0016806722689075,1328,948,1.40084388185654,0.3446196660482374,0.0925206033276318,7.424471589904348,1.0,0.6236,0.5098,0.2677,0.4691,0.305,
pcm,afr,0.2441,18,43,0.0512605042016806,1934,948,2.040084388185654,0.203484865408243,0.0925206033276318,1.438432034884854,0.6987,0.5592,0.4975,0.33,0.4033,0.1797,
pcm,vie,0.1949,26,35,0.0184873949579831,3000,948,3.1645569620253164,0.1568043561492321,0.0925206033276318,0.4827536129371315,1.0,0.6277,0.5412,0.3578,0.493,0.3911,
pcm,uig,0.3206,4,57,0.0016806722689075,3456,948,3.645569620253165,0.4374610522567435,0.0925206033276318,13.899889130465008,1.0,0.5893,0.5468,0.3918,,0.3064,
pcm,ell,0.0351,54,7,0.0042016806722689,2521,948,2.659282700421941,0.2837253360022877,0.0925206033276318,4.2709094426985175,0.9139,0.4844,0.4843,0.4407,0.4938,0.1664,
pcm,sme,0.3371,2,59,0.0184873949579831,3122,948,3.2932489451476794,0.4513223794042703,0.0925206033276318,15.039460451633715,1.0,0.6377,0.6285,,,0.2592,
pcm,glg,0.2016,23,38,0.0579831932773109,3993,948,4.212025316455696,0.2302721876615389,0.0925206033276318,2.216747834021532,0.942,0.4963,0.4206,0.2048,0.365,0.1529,
pcm,srp,0.2376,19,42,0.0394957983193277,3891,948,4.104430379746836,0.3111760696308725,0.0925206033276318,5.585264770309875,0.9273,0.5606,0.5004,0.3743,0.4627,0.1687,
pcm,got,0.1229,38,23,0.0226890756302521,5401,948,5.697257383966245,0.1811019353439708,0.0925206033276318,0.9166583542295182,0.7196,0.5499,0.5499,,,0.4363569673275169,0.4097
pcm,tur,0.1921,28,33,0.0285714285714285,5635,948,5.944092827004219,0.5061541783632045,0.0925206033276318,19.9873241099232,1.0,0.5722,0.5264,0.47,0.5046,0.1755,
pcm,zho,0.0035,60,1,0.0092436974789915,4997,948,5.271097046413503,0.9869043288468534,0.0925206033276318,93.44818352081212,1.0,0.5808,0.574,0.4413,0.5762,0.3955,
pcm,urd,0.1201,40,21,0.0067226890756302,5130,948,5.411392405063292,0.1056406117958751,0.0925206033276318,0.0201090390934346,0.9273,0.5935,0.5385,0.4327,0.5278,0.2634,
pcm,chu,0.0914,48,13,0.0008403361344537,6337,948,6.684599156118144,0.1959524016329366,0.0925206033276318,1.24977329025679,0.9139,,,,,0.1679,
pcm,swe,0.3241,3,58,0.0495798319327731,6026,948,6.356540084388186,0.2404336943809909,0.0925206033276318,2.555855600397112,0.7592,0.5428,0.5016,0.303,0.4906,0.2233,
