task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
macu1259,stan1293,0.2522522522522522,0.2273141777855794,eng,1.0,0.2901
stan1290,stan1293,0.5315315315315315,0.5043150695693068,eng,0.9386000037193298,0.0246
sion1247,stan1293,0.2432432432432432,0.1931284684907873,eng,1.0,0.334
wapi1253,stan1293,0.3333333333333333,0.2697111714060866,eng,1.0,0.2946
kwer1261,stan1293,0.1891891891891892,0.1083695940838798,eng,1.0,0.2893
sout2943,stan1293,0.1818181818181818,0.1016721122429367,eng,1.0,0.462
kuot1243,stan1293,0.2363636363636363,0.1665125197383262,eng,0.9687,0.46
mezq1235,stan1293,0.2432432432432432,0.2112575513055952,eng,1.0,0.3278
noma1263,stan1293,0.1621621621621621,0.1131871169846992,eng,1.0,0.3628
fata1245,stan1293,0.2252252252252252,0.1765136057818984,eng,1.0,0.4764
miah1235,stan1293,0.2072072072072072,0.1472724965682712,eng,1.0,0.3329
hang1263,stan1293,0.2342342342342342,0.1776582831563557,eng,1.0,0.4543
aman1265,stan1293,0.2252252252252252,0.1655082547032611,eng,1.0,0.4519
yami1256,stan1293,0.1545454545454545,0.0803301349812977,eng,1.0,0.3533
nort2877,stan1293,0.2454545454545454,0.2473704838152722,eng,1.0,0.3769
auhe1237,stan1293,0.1636363636363636,0.1199863139358937,eng,1.0,0.4731
kamu1260,stan1293,0.1727272727272727,0.1370478302185619,eng,0.9687,0.4609
keya1238,stan1293,0.2072072072072072,0.1440064157045289,eng,1.0,0.4619
huam1248,stan1293,0.1121495327102803,0.0644621256770789,eng,1.0,0.3601
gorr1238,stan1293,0.1351351351351351,0.0761977886977886,eng,1.0,0.2078
wayu1243,stan1293,0.2252252252252252,0.1744664846546741,eng,1.0,0.2971
cent2150,stan1293,0.2252252252252252,0.1674725916474355,eng,1.0,0.3074
sout2992,stan1293,0.2075471698113207,0.1292820339070915,eng,1.0,0.3617
piap1246,stan1293,0.1351351351351351,0.0518018018018018,eng,1.0,0.3073
huli1244,stan1293,0.1711711711711711,0.1302171817397546,eng,1.0,0.4586
iwal1237,stan1293,0.2702702702702703,0.1612289069516208,eng,1.0,0.4646
maxa1247,stan1293,0.2272727272727272,0.1668416689693285,eng,1.0,0.3239
ticu1245,stan1293,0.1441441441441441,0.071665650613019,eng,1.0,0.3329
susu1250,stan1293,0.1621621621621621,0.113943579782089,eng,1.0,0.1933
yawe1241,stan1293,0.1909090909090909,0.126431989063568,eng,1.0,0.4612
chac1249,stan1293,0.2072072072072072,0.1600764165419337,eng,1.0,0.339
sepi1255,stan1293,0.1351351351351351,0.061089661089661,eng,1.0,0.4544
urar1246,stan1293,0.1441441441441441,0.095800147974061,eng,0.9687,0.3459
sout2991,stan1293,0.1531531531531531,0.0862852860787191,eng,1.0,0.3735
amoo1242,stan1293,0.2522522522522522,0.1740008253235222,eng,1.0,0.1918
mina1269,stan1293,0.2342342342342342,0.1829784827887295,eng,1.0,0.4718
chav1241,stan1293,0.4594594594594595,0.4201019015092241,eng,0.9386000037193298,0.4024
salt1242,stan1293,0.1818181818181818,0.1530571134588351,eng,1.0,0.4611
kwom1262,stan1293,0.1351351351351351,0.0901569472998044,eng,1.0,0.4545
oksa1245,stan1293,0.2972972972972973,0.2197245322245322,eng,1.0,0.4563
papa1238,stan1293,0.2792792792792792,0.2074424198189194,eng,1.0,0.3222
diux1235,stan1293,0.1351351351351351,0.0637619437619437,eng,1.0,0.3313
caqu1242,stan1293,0.1621621621621621,0.0944491529857383,eng,1.0,0.3609
hixk1239,stan1293,0.1181818181818181,0.0791814246359701,eng,1.0,0.301
