task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
macu1259,stan1293,0.2522522522522522,0.2273141777855794,eng,1.0,0.4,0.72,0.5687,0.5623,0.7,3.2003298,0.1864,0.23119231436642118
stan1290,stan1293,0.5315315315315315,0.5043150695693068,eng,0.9386000037193298,0.0,0.46,0.427,0.4753,0.5,3.02867,0.1864,0.16578026419506786
sion1247,stan1293,0.2432432432432432,0.1931284684907873,eng,1.0,0.4,0.74,0.7012,0.498,0.6,3.20823,0.1864,0.21408415118678137
wapi1253,stan1293,0.3333333333333333,0.2697111714060866,eng,1.0,0.4,0.57,0.5207,0.5867,0.7,3.1764996,0.1864,0.21258483544669238
kwer1261,stan1293,0.1891891891891892,0.1083695940838798,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.266195,0.1864,0.24906870872769182
sout2943,stan1293,0.1818181818181818,0.1016721122429367,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.0746493,0.1864,0.2511566995246757
kuot1243,stan1293,0.2363636363636363,0.1665125197383262,eng,0.9687,0.7,0.59,0.805,0.5838,0.6,3.1041672,0.1864,0.20052214365623178
mezq1235,stan1293,0.2432432432432432,0.2112575513055952,eng,1.0,0.4,0.69,0.3277,0.4235,0.5,3.2429051,0.1864,0.19693955585951006
noma1263,stan1293,0.1621621621621621,0.1131871169846992,eng,1.0,0.5,0.9,0.5687,0.572,0.7,3.201402,0.1864,0.2196090357814533
fata1245,stan1293,0.2252252252252252,0.1765136057818984,eng,1.0,0.7,0.79,0.5687,0.5983,0.9,3.2442694,0.1864,0.24580728088449566
miah1235,stan1293,0.2072072072072072,0.1472724965682712,eng,1.0,0.4,0.79,1.0,0.5983,0.9,3.239299,0.1864,0.24793170990492797
hang1263,stan1293,0.2342342342342342,0.1776582831563557,eng,1.0,0.7,0.8,0.5687,0.6123,0.7,3.2054834,0.1864,0.21304083523027362
aman1265,stan1293,0.2252252252252252,0.1655082547032611,eng,1.0,0.7,0.75,0.805,0.5256,0.6,3.1730597,0.1864,0.19591300483282692
yami1256,stan1293,0.1545454545454545,0.0803301349812977,eng,1.0,0.5,0.84,0.5687,0.6526,0.7,3.1024556,0.1864,0.23702715991333045
nort2877,stan1293,0.2454545454545454,0.2473704838152722,eng,1.0,0.5,0.57,0.5687,0.5983,0.6,3.2459922,0.1864,0.19200082251442252
auhe1237,stan1293,0.1636363636363636,0.1199863139358937,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.227766,0.1864,0.24906870872769182
kamu1260,stan1293,0.1727272727272727,0.1370478302185619,eng,0.9687,0.7,0.57,0.5687,0.5983,0.6,3.1629224,0.1864,0.2197780136795019
keya1238,stan1293,0.2072072072072072,0.1440064157045289,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.2351272,0.1864,0.24906870872769182
huam1248,stan1293,0.1121495327102803,0.0644621256770789,eng,1.0,0.5,0.72,0.5687,0.5368,0.6,3.085962,0.1864,0.2115395400506227
gorr1238,stan1293,0.1351351351351351,0.0761977886977886,eng,1.0,0.3,0.57,0.5687,0.5983,0.6,3.1661701,0.1864,0.24906870872769182
wayu1243,stan1293,0.2252252252252252,0.1744664846546741,eng,1.0,0.4,0.66,0.5879,0.5032,0.6,3.217605,0.1864,0.19181777523190124
cent2150,stan1293,0.2252252252252252,0.1674725916474355,eng,1.0,0.4,0.9,0.5687,0.5506,0.7,3.2259853,0.1864,0.20261758521419826
sout2992,stan1293,0.2075471698113207,0.1292820339070915,eng,1.0,0.5,0.9,0.5687,0.5983,0.9,3.2114956,0.1864,0.2511566995246757
piap1246,stan1293,0.1351351351351351,0.0518018018018018,eng,1.0,0.4,0.72,0.5687,0.5896,0.7,3.2286408,0.1864,0.20611769945126523
huli1244,stan1293,0.1711711711711711,0.1302171817397546,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.1845787,0.1864,0.23236923162288592
iwal1237,stan1293,0.2702702702702703,0.1612289069516208,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.243444,0.1864,0.2137162604158983
maxa1247,stan1293,0.2272727272727272,0.1668416689693285,eng,1.0,0.4,0.93,0.7196,0.6252,0.7,3.1857693,0.1864,0.22629082523013877
ticu1245,stan1293,0.1441441441441441,0.071665650613019,eng,1.0,0.4,0.71,0.5779,0.5625,0.6,3.1159637,0.1864,0.20358456157169502
susu1250,stan1293,0.1621621621621621,0.113943579782089,eng,1.0,0.2,0.79,0.5687,0.5144,0.6,3.2400088,0.4161,0.1749260599594008
yawe1241,stan1293,0.1909090909090909,0.126431989063568,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.1930103,0.1864,0.24906870872769182
