task_lang,transfer_lang,accuracy
stan1318,stan1318,0.714371257
stan1318,bulg1262,0.69241517
stan1318,stan1295,0.703792415
stan1318,mode1248,0.680838323
stan1318,stan1293,0.760279441
stan1318,stan1288,0.720159681
stan1318,stan1290,0.715968064
stan1318,hind1269,0.609780439
stan1318,russ1263,0.689021956
stan1318,swah1253,0.513972056
stan1318,thai1261,0.53992016
stan1318,nucl1301,0.625349301
stan1318,urdu1245,0.595808383
stan1318,viet1252,0.693812375
stan1318,mand1415,0.698602794
bulg1262,stan1318,0.665469062
bulg1262,bulg1262,0.758682635
bulg1262,stan1295,0.723153693
bulg1262,mode1248,0.680239521
bulg1262,stan1293,0.767265469
bulg1262,stan1288,0.738522954
bulg1262,stan1290,0.725948104
bulg1262,hind1269,0.621556886
bulg1262,russ1263,0.716367265
bulg1262,swah1253,0.501996008
bulg1262,thai1261,0.541916168
bulg1262,nucl1301,0.628742515
bulg1262,urdu1245,0.594211577
bulg1262,viet1252,0.715369261
bulg1262,mand1415,0.711377246
stan1295,stan1318,0.673253493
stan1295,bulg1262,0.703193613
stan1295,stan1295,0.766866267
stan1295,mode1248,0.687225549
stan1295,stan1293,0.789820359
stan1295,stan1288,0.746107784
stan1295,stan1290,0.734530938
stan1295,hind1269,0.635528942
stan1295,russ1263,0.709780439
stan1295,swah1253,0.507784431
stan1295,thai1261,0.55988024
stan1295,nucl1301,0.642714571
stan1295,urdu1245,0.614770459
stan1295,viet1252,0.708782435
stan1295,mand1415,0.713772455
mode1248,stan1318,0.660678643
mode1248,bulg1262,0.70239521
mode1248,stan1295,0.705189621
mode1248,mode1248,0.7500998
mode1248,stan1293,0.763672655
mode1248,stan1288,0.735129741
mode1248,stan1290,0.725149701
mode1248,hind1269,0.625748503
mode1248,russ1263,0.704391218
mode1248,swah1253,0.518363273
mode1248,thai1261,0.558083832
mode1248,nucl1301,0.624750499
mode1248,urdu1245,0.598802395
mode1248,viet1252,0.702994012
mode1248,mand1415,0.705588822
stan1293,stan1318,0.660479042
stan1293,bulg1262,0.697005988
stan1293,stan1295,0.712974052
stan1293,mode1248,0.673453094
stan1293,stan1293,0.824151697
stan1293,stan1288,0.741716567
stan1293,stan1290,0.743912176
stan1293,hind1269,0.609381238
