task_lang,transfer_lang,accuracy,syntactic,phonological,morphological,inventory,featural,geographic,hyper_genetic,scriptural,islands
stan1318,stan1318,0.714371257,0.0,,0.0,,0.0,0.0,0.0004473,0.0,0.0
stan1318,bulg1262,0.69241517,0.5544,,,,0.5544,0.0979,3.184,0.5335,0.08930823599541582
stan1318,stan1295,0.703792415,0.5757,,,,0.5757,0.1426,3.3,0.5335,0.08866962481986973
stan1318,mode1248,0.680838323,0.5191,,0.4934,,0.5139,0.0955,3.148,0.5335,0.07537899904995438
stan1318,stan1293,0.760279441,0.5819,,0.6156,,0.5978,0.1832,3.135,0.5574,0.18526865019199423
stan1318,stan1288,0.720159681,0.5145,,,,0.5145,0.1725,3.158,0.5335,0.06485554929966653
stan1318,stan1290,0.715968064,0.5731,,0.5122,,0.5527,0.169,3.229,0.5335,0.08317305411864018
stan1318,hind1269,0.609780439,0.6481,,0.6156,,0.6437,0.1337,3.264,0.5303,0.1263548000249567
stan1318,russ1263,0.689021956,0.6095,,0.5352,,0.5822,0.1491,3.168,0.6591,0.0853277769267331
stan1318,swah1253,0.513972056,0.6744,,0.6353,,0.6611,0.1636,3.246,0.0,0.1106941590009225
stan1318,thai1261,0.53992016,0.648,,0.7748,,0.6949,0.2359,3.29,0.6472,0.10543228603109556
stan1318,nucl1301,0.625349301,0.7518,,0.5499,,0.6849,0.0682,3.205,0.5335,0.10317452864669441
stan1318,urdu1245,0.595808383,0.6897,,,,0.6897,0.0948,3.291,0.3799,0.10818388383027033
stan1318,viet1252,0.693812375,0.6704,,0.9131,,0.738,0.2505,3.229,0.6116,0.12054580160280604
stan1318,mand1415,0.698602794,0.74,,0.8691,,0.7842,0.2567,3.148,0.4235,0.14336151911205886
bulg1262,stan1318,0.665469062,0.5544,,,,0.5544,0.0979,3.184,0.5335,0.08930823599541582
bulg1262,bulg1262,0.758682635,0.0,0.0,,0.0,0.0,0.0,0.0004473,0.0,0.0
bulg1262,stan1295,0.723153693,0.4097,0.3743,,0.5162,0.467,0.0467,3.164,0.0,0.07652596155811797
bulg1262,mode1248,0.680239521,0.419,0.2048,,0.4683,0.4297,0.0048,3.027,0.2736,0.07708466945213677
bulg1262,stan1293,0.767265469,0.4097,0.3333,,0.521,0.4647,0.0896,2.977,0.1864,0.17528098739561349
bulg1262,stan1288,0.738522954,0.2923,0.3613,,0.5933,0.4657,0.0891,2.992,0.0,0.06753978783790038
