,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
0,ces,rus,69.43,5,25,0.161485819,55398,12203,4.539703351634844,0.123916395,0.209224843,0.1662484407397117,0.5804,0.2823,0.2999,0.5922,0.3772,0.1923,0.19,0.19594845121123192
1,ces,nor,56.03,16,14,0.172351737,34170,12203,2.8001311152995165,0.106159434,0.209224843,0.2426606523494027,0.8831,0.4728,0.5694,0.6466,0.5844,0.0585,0.3246,0.06681036435501124
2,ces,spa,58.19,10,20,0.224964372,31546,12203,2.5851020240924365,0.0791871859999999,0.209224843,0.3862884921900736,0.9248,0.5155,0.5967,0.7993,0.5074,0.0821,0.2415,0.4367366048052141
3,ces,kor,18.38,29,1,0.117808139,30426,12203,2.4933213144308777,0.294432976,0.209224843,0.1658576844364672,1.0,0.354,0.4059,0.7252,0.5809,0.4141,0.4388,0.4064453355434155
4,ces,est,52.31,21,9,0.163621065,23460,12203,1.922478079160862,0.221928097,0.209224843,0.0036864085306283,0.9744,0.33,0.5555,0.8425,1.2528,0.0591,0.42,0.06432040111968411
5,ces,pol,65.61,7,23,0.175644586,22646,12203,1.8557731705318363,0.223329008,0.209224843,0.0045443132295088,0.4788,0.2446,0.2993,0.5641,0.437,0.0165,0.3728,0.026967066030539145
6,ces,nld,57.25,12,18,0.147181136,19452,12203,1.5940342538719987,0.133302703,0.209224843,0.1316771386159033,0.9131,0.2275,0.2659,0.2677,0.42,0.0373,0.3958,0.047519022724584005
7,ces,por,58.1,11,19,0.21305272,19763,12203,1.6195197902155207,0.095460698,0.209224843,0.2956543771754236,0.9214,0.2448,0.2665,0.195,0.4184,0.0859,0.1826,0.44628390302406057
8,ces,lat,41.35,24,6,0.014406825,17140,12203,1.4045726460706385,0.158874645,0.209224843,0.0579129735198895,0.8831,0.3186,0.3657,0.5931,0.7063,0.0454,0.3782,0.04759196267499589
9,ces,fra,56.98,14,16,0.176247708,16032,12203,1.3137753011554536,0.118520741,0.209224843,0.1879435192476242,0.9248,0.323,0.3526,0.7028,0.4471,0.0489,0.2384,0.1335768419386377
