Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
ces,rus,69.43,5,25,0.161485819,55398,12203,4.539703351634844,0.123916395,0.209224843,0.1662484407397117,0.5804,0.4716,0.4249,0.0,0.4034,0.1923,0.19,0.1549
ces,nor,56.03,16,14,0.172351737,34170,12203,2.8001311152995165,0.106159434,0.209224843,0.2426606523494027,0.8831,0.501,0.5555,0.4208,0.6169,0.0585,0.3246,0.0483
ces,spa,58.19,10,20,0.224964372,31546,12203,2.5851020240924365,0.0791871859999999,0.209224843,0.3862884921900736,0.9248,0.4954,0.5141,0.3433,0.5431,0.0821,0.2415,0.0675
ces,kor,18.38,29,1,0.117808139,30426,12203,2.4933213144308777,0.294432976,0.209224843,0.1658576844364672,1.0,0.6705,0.639,0.6123,0.6216,0.4141,0.4388,0.3125
ces,est,52.31,21,9,0.163621065,23460,12203,1.922478079160862,0.221928097,0.209224843,0.0036864085306283,0.9744,0.5482,0.5038,0.195,0.4714,0.0591,0.42,0.0506
ces,pol,65.61,7,23,0.175644586,22646,12203,1.8557731705318363,0.223329008,0.209224843,0.0045443132295088,0.4788,0.4737,0.4743,0.2677,0.4653,0.0165,0.3728,0.0137
ces,nld,57.25,12,18,0.147181136,19452,12203,1.5940342538719987,0.133302703,0.209224843,0.1316771386159033,0.9131,0.4804,0.4748,0.3918,0.4427,0.0373,0.3958,0.0308
ces,por,58.1,11,19,0.21305272,19763,12203,1.6195197902155207,0.095460698,0.209224843,0.2956543771754236,0.9214,0.4923,0.4649,0.319,0.4431,0.0859,0.1826,0.0706
ces,lat,41.35,24,6,0.014406825,17140,12203,1.4045726460706385,0.158874645,0.209224843,0.0579129735198895,0.8831,0.4899,0.4598,0.3862,0.4714,0.0454,0.3782,0.0375
ces,fra,56.98,14,16,0.176247708,16032,12203,1.3137753011554536,0.118520741,0.209224843,0.1879435192476242,0.9248,0.5632,0.5153,0.4196,0.4713,0.0489,0.2384,0.0403
ces,deu,57.21,13,17,0.157244512,14613,12203,1.1974924198967467,0.187631727,0.209224843,0.0106513372142903,0.8934,0.501,0.5078,0.359,0.4728,0.0117,0.11,0.0097
ces,hin,28.54,28,2,0.0298447929999999,14963,12203,1.2261738916659837,0.060393443,0.209224843,0.5060141165439032,0.9014,0.5738,0.554,0.4196,0.5509,0.2958,0.0281,0.232
ces,cat,56.48,15,15,0.1973277819999999,14832,12203,1.2154388265180691,0.074013319,0.209224843,0.4176388723005271,0.9176,0.5184,0.4885,0.2677,0.4663,0.0632,0.1947,0.0521
ces,ita,60.22,9,21,0.1923082539999999,13685,12203,1.1214455461771695,0.102554534,0.209224843,0.2599325126929821,0.9131,0.4841,0.462,0.195,0.4371,0.0391,0.1823,0.0322
ces,eng,53.43,20,10,0.153168577,14545,12203,1.191920019667295,0.0961556319999999,0.209224843,0.292053370079109,0.9131,0.6202,0.5987,0.319,0.5368,0.0583,0.1249,0.0481
ces,fin,49.26,22,8,0.125395799,13581,12203,1.1129230517085962,0.302519355,0.209224843,0.1988317309982627,1.0,0.5177,0.488,0.2677,0.4818,0.0882,0.4378,0.0724
ces,bul,66.39,6,24,0.0897727109999999,10022,12203,0.8212734573465541,0.201446082,0.209224843,0.0013822746867964,0.6667,0.5216,0.5036,0.0,0.4507,0.0523,0.082,0.0432
ces,slv,72.28,2,28,0.1624780519999999,9290,12203,0.7612882078177498,0.237767323,0.209224843,0.0186104515024004,0.631,0.4016,0.4021,0.0,0.4204,0.0201,0.1261,0.0167
ces,slk,72.54,1,29,0.156466291,9543,12203,0.7820208145537982,0.261917468,0.209224843,0.0634268535464013,0.2677,0.7546,0.72,0.6082,0.6839,0.0153,0.1781,0.0126
ces,ron,61.38,8,22,0.162040302,8795,12203,0.7207244120298287,0.167303215,0.209224843,0.0401466931333328,0.9078,0.5141,0.4943,0.2677,0.4494,0.0389,0.1218,0.0321
ces,hrv,70.88,3,27,0.171198996,7832,12203,0.6418093911333279,0.216688845,0.209224843,0.0012726734758101,0.6936,0.5633,0.5214,0.2048,0.3539,0.0267,0.3543,0.0221
ces,ara,37.25,25,5,0.062301493,6984,12203,0.5723182823895764,0.1033986809999999,0.209224843,0.2558347830441369,1.0,0.6261,0.539,0.2871,0.4511,1.0,0.1229,0.1391
ces,lav,53.61,19,11,0.073274415,6475,12203,0.5306072277308859,0.268650981,0.209224843,0.0806730567633648,0.6875,0.3937,0.3635,0.195,0.3427,0.0491,0.4674,0.0407
ces,heb,36.05,26,4,0.080059534,5725,12203,0.4691469310825207,0.117344567,0.209224843,0.1928493062689516,1.0,0.543,0.5394,0.4477,0.5584,0.1331,0.1267,0.1085
ces,ukr,69.55,4,26,0.062262582,5090,12203,0.4171105465869049,0.31926283,0.209224843,0.276604201523175,0.631,0.4256,0.3905,0.195,0.3804,0.0351,0.1171,0.029
ces,ind,44.24,23,7,0.0854535819999999,5036,12203,0.4126854052282225,0.197096308,0.209224843,0.003360393920574,1.0,0.6535,0.6168,0.3862,0.4724,0.5476,0.4141,0.391
ces,dan,55.36,17,13,0.067155649,4947,12203,0.4053921166926165,0.203165045,0.209224843,0.0008388605939638,0.8934,0.4888,0.4609,0.2677,0.4204,0.0339,0.1557,0.028
ces,swe,53.67,18,12,0.045628098,4807,12203,0.3939195279849217,0.193727962,0.209224843,0.0054860794770604,0.8934,0.5181,0.5292,0.2677,0.573,0.0556,0.1949,0.0459
ces,zho,35.64,27,3,0.06283652,4497,12203,0.3685159387035975,0.178585916,0.209224843,0.0214447309807362,1.0,0.6584,0.6781,0.5273,0.6367,1.0,0.4057,0.2837
rus,ces,69.33,2,28,0.19612372,114304,6491,17.609613310737945,0.091965586,0.247722217,0.3953330959721628,0.5804,0.4716,0.4249,0.0,0.4034,0.1923,0.19,0.1549
rus,nor,52.52,18,12,0.179768003,34170,6491,5.264211985826529,0.106159434,0.247722217,0.3265639704074319,0.8564,0.4689,0.5461,0.4208,0.6556,0.1847,0.2209,0.149
rus,spa,55.98,12,18,0.197905036,31546,6491,4.859959944538592,0.0791871859999999,0.247722217,0.462860856161397,0.9078,0.4743,0.5029,0.3433,0.5273,0.2742,0.3906,0.2163
rus,kor,18.65,29,1,0.143962703,30426,6491,4.687413341549839,0.294432976,0.247722217,0.0355552660058804,1.0,0.5883,0.6162,0.6123,0.6511,0.2272,0.4218,0.1814
rus,est,53.59,16,14,0.184992628,23460,6491,3.614235094746572,0.221928097,0.247722217,0.0108420527442406,0.9791,0.4434,0.4723,0.195,0.5079,0.1505,0.2941,0.1182
rus,pol,61.85,7,23,0.133385608,22646,6491,3.4888306886458174,0.223329008,0.247722217,0.0096963427221557,0.5319,0.4765,0.4773,0.2677,0.4949,0.1763,0.2372,0.1425
rus,nld,56.05,11,19,0.18130215,19452,6491,2.996764751193961,0.133302703,0.247722217,0.2133390129055107,0.8934,0.5133,0.509,0.3918,0.5297,0.2171,0.248,0.1739
rus,por,54.02,15,15,0.1954844919999999,19763,6491,3.044677245416731,0.095460698,0.247722217,0.3777899495139006,0.9037,0.4911,0.4781,0.319,0.47,0.2778,0.0148,0.219
rus,lat,39.6,25,5,6.82e-05,17140,6491,2.640579263595748,0.158874645,0.247722217,0.1286356104657033,0.8564,0.4692,0.4668,0.3862,0.4803,0.2255,0.3676,0.1802
rus,fra,55.53,13,17,0.167511868,16032,6491,2.4698813742104453,0.118520741,0.247722217,0.272022629233042,0.9078,0.5313,0.5248,0.4196,0.5152,0.2382,0.3879,0.1897
rus,deu,56.17,10,20,0.1887939039999999,14613,6491,2.2512709906023725,0.187631727,0.247722217,0.0588412072587547,0.8691,0.4943,0.5165,0.359,0.5184,0.2039,0.2839,0.1639
rus,hin,28.19,28,2,0.051001884,14963,6491,2.305191804036358,0.060393443,0.247722217,0.5718459708485517,0.879,0.5243,0.5623,0.4196,0.6015,0.1618,0.1959,0.1311
rus,cat,53.02,17,13,0.18093566,14832,6491,2.285010013865352,0.074013319,0.247722217,0.4917158574026696,0.8989,0.527,0.5053,0.2677,0.4706,0.2546,0.0371,0.202
rus,ita,56.68,9,21,0.183390296,13685,6491,2.1083038052688337,0.102554534,0.247722217,0.3434076567769989,0.8934,0.5275,0.4919,0.195,0.4693,0.221,0.3351,0.1768
rus,eng,51.88,20,10,0.161187771,14545,6491,2.240794946849484,0.0961556319999999,0.247722217,0.3743492908681768,0.8934,0.6097,0.5974,0.319,0.5594,0.2316,0.2983,0.1849
rus,fin,48.6,22,8,0.15967067,13581,6491,2.0922816207055925,0.302519355,0.247722217,0.0489311965980708,1.0,0.4553,0.4728,0.2677,0.5099,0.1415,0.315,0.1151
rus,bul,61.89,6,24,0.294326211,10022,6491,1.5439839778154367,0.201446082,0.247722217,0.0348966905674341,0.5804,0.4576,0.4479,0.0,0.345,0.1796,0.1181,0.145
rus,slv,63.98,4,26,0.130658235,9290,6491,1.43121244800493,0.237767323,0.247722217,0.0016148915565436,0.5319,0.457,0.4508,0.0,0.4254,0.2038,0.2972,0.1637
rus,slk,62.46,5,25,0.096139914,9543,6491,1.4701894931443538,0.261917468,0.247722217,0.0032836452821139,0.5319,0.7359,0.7038,0.6082,0.6933,0.1843,0.3265,0.1487
rus,ron,59.13,8,22,0.1591592869999999,8795,6491,1.354953011862579,0.167303215,0.247722217,0.1053870971591901,0.8869,0.5067,0.4972,0.2677,0.4279,0.1729,0.2941,0.1398
rus,hrv,65.32,3,27,0.156491575,7832,6491,1.2065937451856417,0.216688845,0.247722217,0.0156937965623282,0.6162,0.5697,0.5511,0.2048,0.4214,0.2005,0.2248,0.1612
rus,ara,36.46,26,4,0.101398631,6984,6491,1.0759513172084425,0.1033986809999999,0.247722217,0.3394254522639913,1.0,0.5879,0.5445,0.2871,0.4923,1.0,0.2949,0.1491
rus,lav,54.69,14,16,0.1168509059999999,6475,6491,0.997535048528732,0.268650981,0.247722217,0.0071376828233272,0.6082,0.4637,0.4249,0.195,0.3836,0.1495,0.3535,0.1216
rus,heb,39.76,24,6,0.137630083,5725,6491,0.8819904483130488,0.117344567,0.247722217,0.2769978393220895,1.0,0.4757,0.529,0.4477,0.6156,0.195,0.1034,0.1569
