Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ben,amh,0.28,12,42,0.0002,2028,10000,0.2028,1.0,0.6445,0.5759,0.4054,0.5472,0.2739
ben,cat,0.26,14,40,0.0,10000,10000,1.0,0.9091,0.7035,0.5479999999999999,0.303,0.4961,0.39899999999999997
ben,ceb,0.16,39,15,0.0,10000,10000,1.0,1.0,0.9589,0.6749,0.6162,0.5158,0.20199999999999999
ben,ckb,0.25,18,36,0.0,6279,10000,0.6279,0.75,0.7837,0.8886,0.6162,0.5983,0.2206
ben,deu,0.26,14,40,0.0,10000,10000,1.0,0.8571,0.6135,0.5582,0.4407,0.5404,0.3565
ben,fra,0.22,26,28,0.0,10000,10000,1.0,0.9375,0.6691,0.5423,0.4407,0.4753,0.3951
ben,hau,0.21,32,22,0.0,1071,10000,0.1071,1.0,0.7757,0.621,0.3333,0.5666,0.4309
ben,hin,0.45,2,52,0.0,10000,10000,1.0,0.625,0.5316,0.4115,0.3613,0.3481,0.0659
ben,hun,0.23,22,32,0.0,10000,10000,1.0,1.0,0.6162,0.5563,0.3613,0.5319,0.3308
ben,ilo,0.22,26,28,0.0002,3549,10000,0.3549,1.0,0.7813,0.5888,0.6162,0.44299999999999995,0.1675
ben,ind,0.35,6,48,0.0,10000,10000,1.0,1.0,0.7609999999999999,0.5965,0.4054,0.5144,0.2043
ben,ita,0.32,7,47,0.0,10000,10000,1.0,0.9,0.7196,0.6528,0.6162,0.5625,0.3607
ben,jav,0.27,13,41,0.0,9243,10000,0.9243,1.0,0.8234,0.5497,0.4646,0.4621,0.177
ben,kaz,0.2,33,21,0.0,10000,10000,1.0,1.0,0.7323,0.8779,1.0,0.5983,0.1494
ben,kin,0.07,48,6,0.0,864,10000,0.0864,1.0,0.8357,0.643,0.6162,0.5182,0.3548
ben,kir,0.22,26,28,0.0,10000,10000,1.0,1.0,0.706,0.5713,0.4407,0.5337,0.1243
ben,kur,0.25,18,36,0.0,4006,10000,0.4006,1.0,0.6875,0.8416,0.6162,0.5983,0.2203
ben,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.7201,0.6185,0.6162,0.522,0.0878
ben,mar,0.48,1,53,0.0002,10000,10000,1.0,0.5714,0.4989,0.4685,0.6162,0.3908,0.0769
ben,mlt,0.08,47,7,0.0,1390,10000,0.139,1.0,0.8831,0.6749,0.6162,0.578,0.3609
ben,mya,0.02,51,3,0.0,3282,10000,0.3282,1.0,0.6685,0.5256,0.3743,0.4589,0.0271
ben,nld,0.18,36,18,0.0,10000,10000,1.0,0.9,0.672,0.5994,0.6162,0.5193,0.3795
ben,nya,0.04,49,5,0.0,237,10000,0.0237,1.0,0.8485,0.9214,0.6162,0.5983,0.3778
ben,pan,0.4,4,50,0.0,7902,10000,0.7902,0.5714,0.5316,0.4565,0.6162,0.3369,0.0784
ben,pol,0.26,14,40,0.0,10000,10000,1.0,0.8333,0.6739,0.5771,0.303,0.5472,0.3333
ben,por,0.22,26,28,0.0,10000,10000,1.0,0.9333,0.7402,0.6188,0.6162,0.4991,0.4285
ben,ron,0.31,10,44,0.0001,10000,10000,1.0,0.8889,0.6943,0.5646,0.3824,0.4997,0.3135
ben,rus,0.11,42,12,0.0,10000,10000,1.0,0.8,0.6496,0.6022,0.303,0.5962,0.1817
ben,sna,0.17,37,17,0.0,592,10000,0.0592,1.0,0.8453,0.6731,0.6162,0.5667,0.3987
ben,som,0.09,46,8,0.0,1246,10000,0.1246,1.0,0.6629,0.5064,0.2804,0.4468,0.2623
ben,spa,0.32,7,47,0.0,10000,10000,1.0,0.9231,0.7244,0.6366,0.4717,0.5849,0.4195
ben,swa,0.2,33,21,0.0002,10000,10000,1.0,1.0,0.6704,0.6242,0.6162,0.5983,1.0
ben,swe,0.19,35,19,0.0,10000,10000,1.0,0.8571,0.6936,0.5906,0.6162,0.4906,0.3374
ben,tam,0.25,18,36,0.0,10000,10000,1.0,1.0,0.59,0.5409,0.6162,0.4661,0.0954
ben,tel,0.38,5,49,0.0,5991,10000,0.5991,1.0,0.631,0.4095,0.2163,0.3198,0.0722
ben,tgk,0.24,21,33,0.0,10000,10000,1.0,0.8,0.7874,0.8905,0.6162,0.5983,0.1302
ben,tgl,0.3,11,43,0.0,10000,10000,1.0,1.0,0.7757,0.5766,0.3613,0.461,0.1751
ben,tha,0.1,44,10,0.0001,10000,10000,1.0,1.0,0.8073,0.5483,0.2804,0.4147,0.0781
ben,tir,0.02,51,3,0.0,81,10000,0.0081,1.0,0.6983,0.6444,0.6162,0.5877,0.2701
ben,tuk,0.23,22,32,0.0001,1152,10000,0.1152,1.0,0.6441,0.8285,1.0,0.5983,0.1634
ben,tur,0.32,7,47,0.0,10000,10000,1.0,1.0,0.6826,0.5951,0.3613,0.5667,0.2784
ben,ukr,0.22,26,28,0.0,10000,10000,1.0,0.8333,0.6421,0.6046,0.6162,0.5256,0.3128
ben,uig,0.14,40,14,0.0,1167,10000,0.1167,1.0,0.674,0.8461,1.0,0.5983,0.1188
ben,uzb,0.23,22,32,0.0,10000,10000,1.0,1.0,0.6704,0.6242,0.6162,0.5983,1.0
ben,vie,0.14,40,14,0.0,10000,10000,1.0,1.0,0.8192,0.609,0.4407,0.5242,0.0921
ben,xho,0.04,49,5,0.0,218,10000,0.0218,1.0,0.88,0.6815,0.6162,0.5552,0.4493
ben,yor,0.23,22,32,0.0002,7227,10000,0.7227,1.0,0.8155,0.5743,0.3613,0.4464,0.4653
ben,zul,0.17,37,17,0.0,462,10000,0.0462,1.0,0.7558,0.635,0.47,0.5757,0.4177
jav,amh,0.66,23,31,0.00010818998160770312,2028,9243,0.21940928270042195,1.0,0.8603,0.599,0.529,0.4308,0.3993
jav,ben,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.8234,0.5497,0.4646,0.4621,0.177
jav,cat,0.66,23,31,0.01590392729633236,10000,9243,1.0818998160770312,1.0,0.7671,0.4892,0.4646,0.3445,0.574
jav,ceb,0.67,9,45,0.0037866493562696093,10000,9243,1.0818998160770312,0.5714,0.8174,0.5722,0.7223,0.4751,0.0897
jav,ckb,0.66,23,31,0.00010818998160770312,6279,9243,0.679324894514768,1.0,0.762,0.9339,0.7223,0.611,0.3907
jav,deu,0.67,9,45,0.006815968841285297,10000,9243,1.0818998160770312,1.0,0.81,0.5827,0.5533,0.45299999999999996,0.5332
jav,fra,0.67,9,45,0.007140538786108406,10000,9243,1.0818998160770312,1.0,0.8126,0.5822,0.5533,0.4554,0.5719
jav,hau,0.65,38,16,0.016444877204370874,1071,9243,0.11587147030185005,1.0,0.8044,0.6291,0.5533,0.5347,0.5666
jav,hin,0.68,4,50,0.0,10000,9243,1.0818998160770312,1.0,0.9059999999999999,0.5628,0.5,0.4314,0.231
jav,hun,0.66,23,31,0.014930217461863031,10000,9243,1.0818998160770312,1.0,0.7757,0.583,0.5,0.4370000000000001,0.507
jav,ilo,0.67,9,45,0.05074110137401277,3549,9243,0.3839662447257384,0.4,0.8648,0.5631,0.7223,0.4208,0.1072
