,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
0,ben,amh,0.28,12,42,0.0002,2028,10000,0.2028,1.0,0.4853,0.5162,0.5784,0.5194,0.2611528393104056
1,ben,ara,0.11,42,12,0.0,10000,10000,1.0,1.0,0.5159,0.741,1.1575,1.3375,0.20998225971874865
2,ben,aze,0.26,14,40,0.0001,10000,10000,1.0,1.0,0.5345,0.5933,0.6393,0.5685,0.20264734098523596
3,ben,cat,0.26,14,40,0.0,10000,10000,1.0,0.9237,0.5715,0.6004,0.2532,0.4718,0.4231273059412477
4,ben,ceb,0.16,39,15,0.0,10000,10000,1.0,1.0,0.4023,0.4394,0.6018,0.4882,0.20614982196699616
5,ben,ckb,0.25,18,36,0.0,6279,10000,0.6279,0.8155,0.3246,0.5514,1.1575,1.3375,0.1908682199921129
6,ben,deu,0.26,14,40,0.0,10000,10000,1.0,0.9014,0.3079,0.3012,0.3613,0.5152,0.3559620341007234
7,ben,fas,0.22,26,28,0.0,10000,10000,1.0,0.8155,0.5582,0.5965,0.3613,0.4923,0.16979518502795218
8,ben,fra,0.22,26,28,0.0,10000,10000,1.0,0.9304,0.5695,0.6037,0.4097,0.454,0.39864152121434326
9,ben,hau,0.21,32,22,0.0,1071,10000,0.1071,1.0,0.4838,0.4926,0.3951,0.5391,0.41354209137984616
10,ben,hin,0.45,2,52,0.0,10000,10000,1.0,0.718,0.5525,0.5701,0.4097,0.3351,0.03357462959499773
11,ben,hun,0.23,22,32,0.0,10000,10000,1.0,1.0,0.5639,0.6023,0.3668,0.5056,0.3177311281469364
12,ben,ilo,0.22,26,28,0.0002,3549,10000,0.3549,1.0,0.4038,0.4609,0.6018,0.4212,0.20965226615002602
13,ben,ind,0.35,6,48,0.0,10000,10000,1.0,1.0,0.4411,0.4591,0.3951,0.4882,0.22207657247148327
14,ben,ita,0.32,7,47,0.0,10000,10000,1.0,0.9196,0.5675,0.6159,0.6018,0.5331,0.36322243679735117
15,ben,jav,0.27,13,41,0.0,9243,10000,0.9243,1.0,0.3825,0.4081,0.4511,0.441,0.22274447535054256
16,ben,kaz,0.2,33,21,0.0,10000,10000,1.0,1.0,0.3006,0.5299,1.0795,1.3375,0.15392983122974588
17,ben,kin,0.07,48,6,0.0,864,10000,0.0864,1.0,0.2797,0.2915,0.622,0.4923,0.33477551562412833
18,ben,kir,0.22,26,28,0.0,10000,10000,1.0,1.0,0.3237,0.3097,0.3255,0.508,0.11861681637293031
19,ben,kur,0.25,18,36,0.0,4006,10000,0.4006,0.8003,0.2745,0.2788,0.2871,0.5391,0.24276833077658633
20,ben,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.3747,0.408,0.6018,0.4955,0.11420101626529768
21,ben,mar,0.48,1,53,0.0002,10000,10000,1.0,0.6936,0.5202,0.5604,0.6293,0.3727,0.03351528756192482
22,ben,mlt,0.08,47,7,0.0,1390,10000,0.139,1.0,0.5225,0.5901,0.6393,0.5469,0.3473978356422251
23,ben,mya,0.02,51,3,0.0,3282,10000,0.3282,1.0,0.559,0.5834,0.4196,0.4375,0.057386535937805176
24,ben,msa,0.41,3,51,0.0,10000,10000,1.0,1.0,0.5097,0.5579,0.6018,0.556,0.18211539770822793
25,ben,nld,0.18,36,18,0.0,10000,10000,1.0,0.9196,0.5581,0.5947,0.5587,0.4956,0.3731484752391319
26,ben,nya,0.04,49,5,0.0,237,10000,0.0237,1.0,0.3223,0.5481,1.1575,1.3375,0.3557961465539599
27,ben,orm,0.1,44,10,0.0,265,10000,0.0265,1.0,0.3044,0.2947,0.3951,0.4909,0.260696383155053
28,ben,pan,0.4,4,50,0.0,7902,10000,0.7902,0.6936,0.5428,0.5858,0.5745,0.323,0.04664254741160819
29,ben,pol,0.26,14,40,0.0,10000,10000,1.0,0.8919,0.5851,0.6395,0.2048,0.5194,0.32419953260493883
30,ben,por,0.22,26,28,0.0,10000,10000,1.0,0.9273,0.5721,0.6127,0.5745,0.4753,0.7353308719001614
31,ben,ron,0.31,10,44,0.0001,10000,10000,1.0,0.9147,0.2628,0.2632,0.3613,0.4749,0.29640025883226595
32,ben,rus,0.11,42,12,0.0,10000,10000,1.0,0.879,0.5561,0.6255,0.369,0.5638,0.218964179477535
33,ben,sna,0.17,37,17,0.0,592,10000,0.0592,1.0,0.5178,0.5822,0.622,0.5398,0.38495638049611075
34,ben,som,0.09,46,8,0.0,1246,10000,0.1246,1.0,0.4646,0.4894,0.3255,0.427,0.2529982170632206
35,ben,spa,0.32,7,47,0.0,10000,10000,1.0,0.9304,0.3482,0.3394,0.5741,0.5536,0.7011840422442039
36,ben,swa,0.2,33,21,0.0002,10000,10000,1.0,1.0,0.5467,0.592,0.5319,0.5249,0.31347211727288077
37,ben,swe,0.19,35,19,0.0,10000,10000,1.0,0.9014,0.5666,0.5902,0.6123,0.4679,0.3292704240449085
38,ben,tam,0.25,18,36,0.0,10000,10000,1.0,1.0,0.5066,0.5548,0.5854,0.4445,0.04079419830848763
39,ben,tel,0.38,5,49,0.0,5991,10000,0.5991,1.0,0.4813,0.4864,0.2532,0.3071,0.03343501807527083
40,ben,tgk,0.24,21,33,0.0,10000,10000,1.0,0.8378,0.2899,0.5367,1.1575,1.3375,0.11916804811674923
41,ben,tgl,0.3,11,43,0.0,10000,10000,1.0,1.0,0.4237,0.4664,0.4596,0.4384,0.2322734528760991
42,ben,tha,0.1,44,10,0.0001,10000,10000,1.0,1.0,0.4479,0.4468,0.4278,0.3951,0.0933562963456429
43,ben,tir,0.02,51,3,0.0,81,10000,0.0081,1.0,0.2845,0.3034,0.5956,0.5592,0.25594572745570243
44,ben,tuk,0.23,22,32,0.0001,1152,10000,0.1152,1.0,0.5197,0.7411,1.0795,1.3375,0.14996478877581337
45,ben,tur,0.32,7,47,0.0,10000,10000,1.0,1.0,0.5471,0.5979,0.4336,0.5398,0.2577511597338122
46,ben,ukr,0.22,26,28,0.0,10000,10000,1.0,0.8919,0.5031,0.5582,0.6018,0.4985,0.27496054724170343
47,ben,uig,0.14,40,14,0.0,1167,10000,0.1167,1.0,0.2642,0.5239,1.1695,1.3375,0.11333112650892047
48,ben,uzb,0.23,22,32,0.0,10000,10000,1.0,1.0,0.2795,0.2957,0.622,0.5219,0.14621868947552713
49,ben,vie,0.14,40,14,0.0,10000,10000,1.0,1.0,0.4728,0.4818,0.4196,0.4772,0.1242826551211986
50,ben,xho,0.04,49,5,0.0,218,10000,0.0218,1.0,0.4488,0.5216,0.5956,0.5278,0.43731779934804677
51,ben,yor,0.23,22,32,0.0002,7227,10000,0.7227,1.0,0.297,0.2861,0.5221,0.424,0.41823646365401
52,ben,zul,0.17,37,17,0.0,462,10000,0.0462,1.0,0.3742,0.3953,0.4097,0.5459,0.43701342637626933
53,jav,amh,0.66,23,31,0.0001081899816077,2028,9243,0.2194092827004219,1.0,0.4575,0.4681,0.7209,0.4089,0.436229386370598
54,jav,ara,0.64,45,9,0.0,10000,9243,1.0818998160770312,1.0,0.4932,0.6895,1.0282,1.3243,0.4279730806442745
55,jav,aze,0.66,23,31,0.0114681380504165,10000,9243,1.0818998160770312,1.0,0.4096,0.4536,0.4161,0.5229,0.4205313450935472
56,jav,ben,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.3825,0.4081,0.4511,0.441,0.22274447535054265
57,jav,cat,0.66,23,31,0.0159039272963323,10000,9243,1.0818998160770312,1.0,0.5015,0.5143,0.4458,0.3277,0.6398801315727175
58,jav,ceb,0.67,9,45,0.0037866493562696,10000,9243,1.0818998160770312,0.631,0.2098,0.2588,0.357,0.4492,0.08374295259689674
59,jav,ckb,0.66,23,31,0.0001081899816077,6279,9243,0.679324894514768,1.0,0.3302,0.5803,1.0282,1.3243,0.4089887816210879
