Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ben,amh,0.28,12,42,0.0002,2028,10000,0.2028,1.0,0.5747,0.5573,0.4685,0.5472,0.2159
ben,ara,0.11,42,12,0.0,10000,10000,1.0,1.0,0.6755,0.6107,0.4498,0.5058,0.1836
ben,aze,0.26,14,40,0.0001,10000,10000,1.0,1.0,0.5115,0.5274,0.4835,0.5986,0.1773
ben,cat,0.26,14,40,0.0,10000,10000,1.0,0.9237,0.6313,0.5777,0.3548,0.4961,0.3027
ben,ceb,0.16,39,15,0.0,10000,10000,1.0,1.0,0.727,0.6277,0.439,0.5158,0.1621
ben,ckb,0.25,18,36,0.0,6279,10000,0.6279,0.8155,0.7548,0.7895,0.8278,0.8499,0.1764
ben,deu,0.26,14,40,0.0,10000,10000,1.0,0.9014,0.5206,0.5099,0.4246,0.5404,0.2744
ben,fas,0.22,26,28,0.0,10000,10000,1.0,0.8155,0.6281,0.5719,0.4246,0.5182,0.1412
ben,fra,0.22,26,28,0.0,10000,10000,1.0,0.9304,0.6075,0.5447,0.33,0.4753,0.3001
ben,hau,0.21,32,22,0.0,1071,10000,0.1071,1.0,0.6137,0.594,0.4513,0.5666,0.3228
ben,hin,0.45,2,52,0.0,10000,10000,1.0,0.718,0.5325,0.4479,0.33,0.3481,0.0542
ben,hun,0.23,22,32,0.0,10000,10000,1.0,1.0,0.5829,0.5506,0.439,0.5319,0.2566
ben,ilo,0.22,26,28,0.0002,3549,10000,0.3549,1.0,0.713,0.5891,0.4034,0.443,0.1355
ben,ind,0.35,6,48,0.0,10000,10000,1.0,1.0,0.6183,0.5767,0.3548,0.5144,0.1639
ben,ita,0.32,7,47,0.0,10000,10000,1.0,0.9196,0.624,0.6034,0.4034,0.5625,0.2771
ben,jav,0.27,13,41,0.0,9243,10000,0.9243,1.0,0.6502,0.5786,0.5114,0.4621,0.1428
ben,kaz,0.2,33,21,0.0,10000,10000,1.0,1.0,0.7183,0.6692,0.5922,0.5879,0.1213
ben,kin,0.07,48,6,0.0,864,10000,0.0864,1.0,0.7015,0.6049,0.4835,0.5182,0.2729
ben,kir,0.22,26,28,0.0,10000,10000,1.0,1.0,0.4854,0.4761,0.4246,0.5337,0.1014
ben,kur,0.25,18,36,0.0,4006,10000,0.4006,0.8003,0.6564,0.5768,0.3789,0.5666,0.1762
ben,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.639,0.5989,0.3548,0.522,0.072
ben,mar,0.48,1,53,0.0002,10000,10000,1.0,0.6936,0.3967,0.4222,0.4498,0.3908,0.0631
ben,mlt,0.08,47,7,0.0,1390,10000,0.139,1.0,0.6213,0.6012,0.4034,0.578,0.2772
ben,mya,0.02,51,3,0.0,3282,10000,0.3282,1.0,0.6166,0.5331,0.3445,0.4589,0.0223
ben,msa,0.41,3,51,0.0,10000,10000,1.0,1.0,0.6906,0.6472,0.4034,0.5867,0.1075
ben,nld,0.18,36,18,0.0,10000,10000,1.0,0.9196,0.5913,0.5496,0.3789,0.5193,0.2898
ben,nya,0.04,49,5,0.0,237,10000,0.0237,1.0,0.7485,0.6237,0.4078,0.4928,0.2883
ben,pan,0.4,4,50,0.0,7902,10000,0.7902,0.6936,0.4948,0.4398,0.3021,0.3369,0.0644
ben,pol,0.26,14,40,0.0,10000,10000,1.0,0.8919,0.5641,0.5707,0.3548,0.5472,0.2584
ben,por,0.22,26,28,0.0,10000,10000,1.0,0.9273,0.6107,0.5668,0.3021,0.4991,0.3215
ben,ron,0.31,10,44,0.0001,10000,10000,1.0,0.9147,0.61,0.5452,0.3548,0.4997,0.2444
ben,rus,0.11,42,12,0.0,10000,10000,1.0,0.879,0.564,0.5798,0.4498,0.5962,0.1466
ben,sna,0.17,37,17,0.0,592,10000,0.0592,1.0,0.7067,0.635,0.439,0.5667,0.3021
ben,som,0.09,46,8,0.0,1246,10000,0.1246,1.0,0.5089,0.481,0.4078,0.4468,0.2074
ben,spa,0.32,7,47,0.0,10000,10000,1.0,0.9304,0.6089,0.5824,0.4835,0.5849,0.3158
ben,swa,0.2,33,21,0.0002,10000,10000,1.0,1.0,0.6774,0.6246,0.4685,0.5509,0.2598
ben,swe,0.19,35,19,0.0,10000,10000,1.0,0.9014,0.608,0.5644,0.439,0.4906,0.2612
ben,tam,0.25,18,36,0.0,10000,10000,1.0,1.0,0.5401,0.4885,0.3548,0.4661,0.0781
ben,tel,0.38,5,49,0.0,5991,10000,0.5991,1.0,0.4976,0.4134,0.3064,0.3198,0.0594
ben,tgk,0.24,21,33,0.0,10000,10000,1.0,0.8378,0.6434,0.6078,0.4544,0.5641,0.1061
ben,tgl,0.3,11,43,0.0,10000,10000,1.0,1.0,0.6425,0.5681,0.439,0.461,0.1414
ben,tha,0.1,44,10,0.0001,10000,10000,1.0,1.0,0.6511,0.5607,0.3548,0.4147,0.0641
ben,tir,0.02,51,3,0.0,81,10000,0.0081,1.0,0.5256,0.5232,0.4246,0.5877,0.2131
ben,tuk,0.23,22,32,0.0001,1152,10000,0.1152,1.0,0.5639,0.5044,0.3064,0.4594,0.1323
ben,tur,0.32,7,47,0.0,10000,10000,1.0,1.0,0.5933,0.5564,0.4835,0.5667,0.2193
ben,ukr,0.22,26,28,0.0,10000,10000,1.0,0.8919,0.5846,0.5524,0.4034,0.5256,0.244
ben,uig,0.14,40,14,0.0,1167,10000,0.1167,1.0,0.5743,0.5255,0.5273,0.529,0.097
ben,uzb,0.23,22,32,0.0,10000,10000,1.0,1.0,0.5459,0.5174,0.3931,0.5491,0.1101
ben,vie,0.14,40,14,0.0,10000,10000,1.0,1.0,0.7076,0.6034,0.2914,0.499,0.0755
ben,xho,0.04,49,5,0.0,218,10000,0.0218,1.0,0.7105,0.6235,0.3445,0.5552,0.334
ben,yor,0.23,22,32,0.0002,7227,10000,0.7227,1.0,0.7287,0.6124,0.359,0.4464,0.344
ben,zul,0.17,37,17,0.0,462,10000,0.0462,1.0,0.6636,0.6158,0.4513,0.5757,0.3143
jav,amh,0.66,23,31,0.0001081899816077,2028,9243,0.2194092827004219,1.0,0.7086,0.6179,0.4878,0.4308,0.3024
jav,ara,0.64,45,9,0.0,10000,9243,1.0818998160770312,1.0,0.6721,0.6384,0.3862,0.4878,0.2962
jav,aze,0.66,23,31,0.0114681380504165,10000,9243,1.0818998160770312,1.0,0.6788,0.6278,0.427,0.5511,0.3007
jav,ben,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.6502,0.5786,0.5114,0.4621,0.1428
jav,cat,0.66,23,31,0.0159039272963323,10000,9243,1.0818998160770312,1.0,0.567,0.5382,0.3729,0.3445,0.4048
jav,ceb,0.67,9,45,0.0037866493562696,10000,9243,1.0818998160770312,0.631,0.5242,0.4745,0.2617,0.4751,0.0735
jav,ckb,0.66,23,31,0.0001081899816077,6279,9243,0.679324894514768,1.0,0.853,0.8793,0.8136,0.8456,0.297
jav,deu,0.67,9,45,0.0068159688412852,10000,9243,1.0818998160770312,1.0,0.5768,0.5382,0.439,0.453,0.3832
jav,fas,0.65,38,16,0.0,10000,9243,1.0818998160770312,1.0,0.6092,0.5778,0.5114,0.4813,0.2608
jav,fra,0.67,9,45,0.0071405387861084,10000,9243,1.0818998160770312,1.0,0.5999,0.5702,0.4161,0.4554,0.4037
jav,hau,0.65,38,16,0.0164448772043708,1071,9243,0.11587147030185,1.0,0.4728,0.5326,0.5319,0.5347,0.4007
jav,hin,0.68,4,50,0.0,10000,9243,1.0818998160770312,1.0,0.6945,0.5937,0.4867,0.4314,0.184
jav,hun,0.66,23,31,0.014930217461863,10000,9243,1.0818998160770312,1.0,0.6311,0.5766,0.3729,0.437,0.3685
jav,ilo,0.67,9,45,0.0507411013740127,3549,9243,0.3839662447257383,0.5319,0.5713,0.5116,0.3277,0.4208,0.0876
jav,ind,0.82,1,53,0.0585307800497673,10000,9243,1.0818998160770312,0.6854,0.2972,0.3436,0.3729,0.3606,0.0314
jav,ita,0.68,4,50,0.0095207183814778,10000,9243,1.0818998160770312,1.0,0.6048,0.5831,0.427,0.4456,0.3844
jav,kaz,0.65,38,16,0.0009737098344693,10000,9243,1.0818998160770312,1.0,0.8697,0.7225,0.6545,0.5741,0.2533
jav,kin,0.64,45,9,0.0121172779400627,864,9243,0.0934761441090555,1.0,0.6287,0.5921,0.6502,0.5009,0.3352
jav,kir,0.66,23,31,0.0009737098344693,10000,9243,1.0818998160770312,1.0,0.7273,0.6279,0.439,0.5172,0.2347
jav,kur,0.66,23,31,0.0542031807854592,4006,9243,0.4334090663204587,1.0,0.7258,0.6298,0.4646,0.5172,0.297
jav,lao,0.63,51,3,0.0004327599264308,521,9243,0.0563669804176133,1.0,0.425,0.4393,0.3729,0.4208,0.0808
jav,mar,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.7042,0.6148,0.3862,0.409,0.1707
jav,mlt,0.65,38,16,0.0202315265606404,1390,9243,0.1503840744347073,1.0,0.6149,0.6042,0.5096,0.46,0.3817
jav,mya,0.63,51,3,0.001081899816077,3282,9243,0.3550795196364816,1.0,0.6793,0.5881,0.439,0.4176,0.1218
jav,msa,0.72,2,52,0.0336470842799956,10000,9243,1.0818998160770312,0.6854,0.4581,0.4556,0.427,0.4333,0.0452
jav,nld,0.69,3,51,0.0106026181975549,10000,9243,1.0818998160770312,1.0,0.6055,0.5637,0.3881,0.4485,0.3957
jav,nya,0.64,45,9,0.0087633885102239,237,9243,0.0256410256410256,1.0,0.5879,0.5359,0.5295,0.4259,0.3252
