,Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
0,pcm,bxr,0.2588,16,45,0.0008403361344537,927,948,0.9778481012658228,0.6023336111441838,0.0925206033276318,30.36301626333194,1.0,1.1371,1.1946,1.2545,1.3345,0.4496124769306749
1,pcm,kmr,0.2825,10,51,0.015126050420168,754,948,0.7953586497890295,0.3877346961448728,0.0925206033276318,10.18115992495738,0.9273,1.0972,0.9772,0.8468,0.5852,0.21856231468999177
2,pcm,hsb,0.2642,13,48,0.0226890756302521,646,948,0.6814345991561181,0.5423194196193881,0.0925206033276318,23.6352229913148,0.9139,1.0647,1.0526,1.2545,1.3345,0.23520264460278772
3,pcm,kaz,0.3111,7,54,0.0008403361344537,1078,948,1.1371308016877637,0.6191198786039454,0.0925206033276318,32.39541903109942,1.0,1.0687,1.0518,1.1788,1.3345,0.3628282687459258
4,pcm,hye,0.2966,9,52,0.0008403361344537,564,948,0.5949367088607594,0.5479001354751306,0.0925206033276318,24.22535226114256,0.8886,1.2377,1.18,0.9671,0.5749,0.28794721218197966
5,pcm,swl,0.1052,43,18,0.0008403361344537,203,948,0.2141350210970464,0.4872907625542468,0.0925206033276318,18.205881906648266,1.0,1.0647,1.0526,1.2545,1.3345,0.29713680181788166
6,pcm,lit,0.2967,8,53,0.0100840336134453,263,948,0.2774261603375527,0.5654157163591126,0.0925206033276318,26.12478588136606,0.8886,1.2382,1.1845,0.9008,0.5834,0.2697363548408224
7,pcm,bel,0.0036,59,2,0.0008403361344537,393,948,0.4145569620253164,0.5525618374558304,0.0925206033276318,24.723878881548544,0.9037,1.1989,1.2411,1.2545,1.3345,0.2730480917777215
8,pcm,mar,0.2302,20,41,0.0016806722689075,466,948,0.4915611814345991,0.5290718671000361,0.0925206033276318,22.26350755500561,0.9214,1.2343,1.163,0.8153,0.5549,0.38603407515465843
9,pcm,cop,0.1381,35,26,0.0025210084033613,514,948,0.5421940928270043,0.4940717882085432,0.0925206033276318,18.836703907488364,1.0,1.2112,1.1645,0.9649,0.7753,0.14793088270712992
10,pcm,tam,0.2806,11,50,0.0016806722689075,600,948,0.6329113924050633,0.5614149588826524,0.0925206033276318,25.6846171956668,1.0,1.2316,1.1565,0.7685,0.5647,0.3898788210741269
11,pcm,gle,0.2058,22,39,0.0369747899159663,1020,948,1.0759493670886076,0.3499300699300699,0.0925206033276318,7.740555288745085,0.9273,1.2701,1.1855,0.7572,0.5782,0.25927042572865755
12,pcm,hun,0.26,15,46,0.0218487394957983,1800,948,1.8987341772151896,0.4546198320061089,0.0925206033276318,15.317161347101475,1.0,1.2385,1.1692,0.8283,0.5138,0.2208583480327763
13,pcm,tel,0.3165,5,56,0.0016806722689075,1328,948,1.40084388185654,0.3446196660482374,0.0925206033276318,7.424471589904348,1.0,1.1645,1.0662,0.7642,0.5428,0.38649918958451707
14,pcm,afr,0.2441,18,43,0.0512605042016806,1934,948,2.040084388185654,0.203484865408243,0.0925206033276318,1.438432034884854,0.6987,0.8117,0.7344,0.2786,0.4033,0.23376181757180478
15,pcm,vie,0.1949,26,35,0.0184873949579831,3000,948,3.1645569620253164,0.1568043561492321,0.0925206033276318,0.4827536129371315,1.0,1.2009,1.1014,0.805,0.5664,0.5292053394966447
16,pcm,uig,0.3206,4,57,0.0016806722689075,3456,948,3.645569620253165,0.4374610522567435,0.0925206033276318,13.899889130465008,1.0,1.0856,1.0562,1.0533,1.3345,0.49026260905431746
17,pcm,ell,0.0351,54,7,0.0042016806722689,2521,948,2.659282700421941,0.2837253360022877,0.0925206033276318,4.2709094426985175,0.9139,1.2281,1.1821,0.8587,0.5902,0.20571110903924444
18,pcm,sme,0.3371,2,59,0.0184873949579831,3122,948,3.2932489451476794,0.4513223794042703,0.0925206033276318,15.039460451633715,1.0,1.1664,1.2005,1.2545,1.3345,0.2865817358381286
19,pcm,glg,0.2016,23,38,0.0579831932773109,3993,948,4.212025316455696,0.2302721876615389,0.0925206033276318,2.216747834021532,0.942,1.1879,1.1367,0.7685,0.48,0.1794452872848942
20,pcm,srp,0.2376,19,42,0.0394957983193277,3891,948,4.104430379746836,0.3111760696308725,0.0925206033276318,5.585264770309875,0.9273,1.0461,1.0358,1.1315,1.3345,0.20912362280899724
21,pcm,got,0.1229,38,23,0.0226890756302521,5401,948,5.697257383966245,0.1811019353439708,0.0925206033276318,0.9166583542295182,0.7196,1.0584,1.0486,1.2545,1.3345,0.22947524597880195
22,pcm,tur,0.1921,28,33,0.0285714285714285,5635,948,5.944092827004219,0.5061541783632045,0.0925206033276318,19.9873241099232,1.0,1.2438,1.1773,0.8161,0.5818,0.21417897207962816
23,pcm,zho,0.0035,60,1,0.0092436974789915,4997,948,5.271097046413503,0.9869043288468534,0.0925206033276318,93.44818352081212,1.0,1.2715,1.1811,0.7712,0.6434,0.49633194610297915
24,pcm,urd,0.1201,40,21,0.0067226890756302,5130,948,5.411392405063292,0.1056406117958751,0.0925206033276318,0.0201090390934346,0.9273,1.088,0.969,0.8241,0.5985,0.35251779292606533
25,pcm,chu,0.0914,48,13,0.0008403361344537,6337,948,6.684599156118144,0.1959524016329366,0.0925206033276318,1.24977329025679,0.9139,1.0647,1.0526,1.2545,1.3345,0.20208515211334072
26,pcm,swe,0.3241,3,58,0.0495798319327731,6026,948,6.356540084388186,0.2404336943809909,0.0925206033276318,2.555855600397112,0.7592,1.2585,1.1668,0.7939,0.5693,0.29950149988028857
27,pcm,dan,0.0807,49,12,0.0915966386554621,5512,948,5.814345991561181,0.2897915761056075,0.0925206033276318,4.546209655774099,0.7592,1.2322,1.2473,1.2545,1.3345,0.2602179073862665
