task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
arif1239,stan1293,0.2702702702702703,0.262160301223008,eng,1.0,0.4701
amel1241,stan1293,0.205607476635514,0.142536564760547,eng,1.0,0.4598
abau1245,stan1293,0.2342342342342342,0.2011792999170278,eng,1.0,0.4529
anem1248,stan1293,0.2095238095238095,0.1739353856020522,eng,1.0,0.4706
ambu1247,stan1293,0.1636363636363636,0.1027831656545515,eng,1.0,0.4543
agar1252,stan1293,0.1711711711711711,0.1293626960293626,eng,1.0,0.4618
cent2084,stan1293,0.287037037037037,0.2148773127033996,eng,1.0,0.3763
agua1253,stan1293,0.1711711711711711,0.1370613196828219,eng,1.0,0.353
anga1290,stan1293,0.1801801801801801,0.091055341055341,eng,1.0,0.464
east2379,stan1293,0.2,0.1748141351402221,eng,1.0,0.4807
achi1256,stan1293,0.1801801801801801,0.0986187296866908,eng,1.0,0.3232
anka1246,stan1293,0.1081081081081081,0.0518890984007263,eng,1.0,0.4635
achu1248,stan1293,0.2636363636363636,0.2048999507064023,eng,1.0,0.3451
agut1237,stan1293,0.2612612612612612,0.2121046107532594,eng,1.0,0.3922
inab1237,stan1293,0.3063063063063063,0.2677656795022811,eng,1.0,0.3941
agua1252,stan1293,0.2,0.1349934123847167,eng,1.0,0.3245
ango1254,stan1293,0.1801801801801801,0.1181655938217749,eng,1.0,0.4523
amar1273,stan1293,0.1666666666666666,0.1075258912744664,eng,1.0,0.4453
sain1246,stan1293,0.2432432432432432,0.2002222561544595,eng,0.9386000037193298,0.2586
east2379,stan1288,0.2545454545454545,0.1820050387886951,spa,1.0,0.4876
amel1241,stan1288,0.2616822429906542,0.1469751439313916,spa,1.0,0.4778
agut1237,stan1288,0.3063063063063063,0.2427613435520118,spa,1.0,0.4105
achi1256,stan1288,0.2882882882882883,0.187057687057687,spa,1.0,0.3304
anga1290,stan1288,0.1621621621621621,0.0948529814509196,spa,1.0,0.4812
abau1245,stan1288,0.2792792792792792,0.2007354948531419,spa,1.0,0.4706
ango1254,stan1288,0.2252252252252252,0.1670054022995199,spa,1.0,0.4701
achu1248,stan1288,0.2545454545454545,0.1399923605805958,spa,1.0,0.336
anem1248,stan1288,0.1619047619047619,0.0940402697902045,spa,1.0,0.4871
anka1246,stan1288,0.1891891891891892,0.1058075656475917,spa,1.0,0.4807
arif1239,stan1288,0.2522522522522522,0.1060190625408016,spa,1.0,0.487
ambu1247,stan1288,0.1818181818181818,0.1278789860025558,spa,1.0,0.4724
cent2084,stan1288,0.25,0.1384884228920926,spa,1.0,0.3988
agua1253,stan1288,0.2612612612612612,0.1242690058479532,spa,1.0,0.3432
sain1246,stan1288,0.2792792792792792,0.173654107720668,spa,0.460099995136261,0.2489
agar1252,stan1288,0.2612612612612612,0.1245318045318045,spa,1.0,0.4794
inab1237,stan1288,0.2342342342342342,0.19437170089344,spa,1.0,0.4147
amar1273,stan1288,0.287037037037037,0.1854199026612819,spa,1.0,0.4552
agua1252,stan1288,0.209090909090909,0.1365418894830659,spa,1.0,0.3324
abau1245,stan1295,0.2162162162162162,0.133675349205979,deu,1.0,0.4428
anga1290,stan1295,0.1441441441441441,0.0363197843512804,deu,1.0,0.4556
sain1246,stan1295,0.1621621621621621,0.0795795795795795,deu,0.9247999787330627,0.2881
ango1254,stan1295,0.1531531531531531,0.0537564661435629,deu,1.0,0.4421
ambu1247,stan1295,0.2,0.1111259605746742,deu,1.0,0.4449
agut1237,stan1295,0.2432432432432432,0.1685394667850808,deu,1.0,0.3745
east2379,stan1295,0.1818181818181818,0.0952848321269373,deu,1.0,0.4671
arif1239,stan1295,0.2522522522522522,0.1365365365365365,deu,1.0,0.4627
amar1273,stan1295,0.2129629629629629,0.1388099976171616,deu,1.0,0.4279
agar1252,stan1295,0.2522522522522522,0.1325114893099464,deu,1.0,0.4533
amel1241,stan1295,0.1401869158878504,0.0703426791277258,deu,1.0,0.4513
achu1248,stan1295,0.1636363636363636,0.0974104683195592,deu,1.0,0.3707
anka1246,stan1295,0.1441441441441441,0.0363197843512804,deu,1.0,0.4549
cent2084,stan1295,0.2685185185185185,0.1583570750237417,deu,1.0,0.3605
inab1237,stan1295,0.2162162162162162,0.1379361516629876,deu,1.0,0.3785
agua1253,stan1295,0.1441441441441441,0.0783655083655083,deu,1.0,0.3778
agua1252,stan1295,0.1545454545454545,0.0859634076615208,deu,1.0,0.356
anem1248,stan1295,0.2666666666666666,0.1544444444444444,deu,1.0,0.4629
achi1256,stan1295,0.1531531531531531,0.0841749312337547,deu,1.0,0.3547
amar1273,nucl1643,0.1851851851851851,0.0815152570638464,jpn,1.0,0.2041
amel1241,nucl1643,0.1588785046728972,0.0604558383510029,jpn,1.0,0.1839
agua1253,nucl1643,0.1801801801801801,0.1298760150111501,jpn,1.0,0.4842
achi1256,nucl1643,0.1801801801801801,0.0681901211556384,jpn,1.0,0.4336
cent2084,nucl1643,0.1759259259259259,0.0682773109243697,jpn,1.0,0.0938
inab1237,nucl1643,0.2342342342342342,0.1272291448536659,jpn,1.0,0.1113
east2379,nucl1643,0.2,0.121612972050352,jpn,1.0,0.2517
anka1246,nucl1643,0.1801801801801801,0.0877514877514877,jpn,1.0,0.1916
abau1245,nucl1643,0.2252252252252252,0.1701578271143097,jpn,1.0,0.175
anga1290,nucl1643,0.1531531531531531,0.0697482988540849,jpn,1.0,0.192
agar1252,nucl1643,0.1711711711711711,0.0939218788681154,jpn,1.0,0.1878
