,task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,inventory,phonological,featural
0,arif1239,stan1293,0.2702702702702703,0.262160301223008,eng,1.0,0.5428800200270782,0.6707,1.3375,1.2006,0.8158
1,amel1241,stan1293,0.205607476635514,0.142536564760547,eng,1.0,0.5428800200270782,0.573,0.5375,0.276,0.6064
2,abau1245,stan1293,0.2342342342342342,0.2011792999170278,eng,1.0,0.5428800200270782,0.5577,0.5716,0.7298,0.5807
3,anem1248,stan1293,0.2095238095238095,0.1739353856020522,eng,1.0,0.5428800200270782,0.6843,1.3375,1.2006,0.823
4,ambu1247,stan1293,0.1636363636363636,0.1027831656545515,eng,1.0,0.5428800200270782,0.5287,0.5375,0.6044,0.5475
5,agar1252,stan1293,0.1711711711711711,0.1293626960293626,eng,1.0,0.5428800200270782,0.6368,1.3375,1.2006,0.7982
6,cent2084,stan1293,0.287037037037037,0.2148773127033996,eng,1.0,0.44782287281812805,0.4305,1.3375,1.2006,0.662
7,agua1253,stan1293,0.1711711711711711,0.1370613196828219,eng,1.0,0.5713704934608786,0.4885,0.6128,0.6022,0.4925
8,anga1290,stan1293,0.1801801801801801,0.091055341055341,eng,1.0,0.5428800200270782,0.5442,0.529,0.5303,0.5491
9,east2379,stan1293,0.2,0.1748141351402221,eng,1.0,0.583795790902294,0.5022,0.5366,0.4326,0.5237
10,achi1256,stan1293,0.1801801801801801,0.0986187296866908,eng,1.0,0.49786935220917133,0.5014,1.3375,1.2006,0.6968
11,anka1246,stan1293,0.1081081081081081,0.0518890984007263,eng,1.0,0.5428800200270782,0.6843,1.3375,1.2006,0.823
12,achu1248,stan1293,0.2636363636363636,0.2048999507064023,eng,1.0,0.5506400813317914,0.4476,0.5184,0.6529,0.4534
13,agut1237,stan1293,0.2612612612612612,0.2121046107532594,eng,1.0,0.44782287281812805,0.4831,1.3375,1.2006,0.6789
14,inab1237,stan1293,0.3063063063063063,0.2677656795022811,eng,1.0,0.44782287281812805,0.6843,1.3375,1.2006,0.823
15,agua1252,stan1293,0.2,0.1349934123847167,eng,1.0,0.49786935220917133,0.6707,1.3375,1.15,0.8134
16,ango1254,stan1293,0.1801801801801801,0.1181655938217749,eng,1.0,0.5428800200270782,0.6036,1.3375,1.2006,0.783
17,amar1273,stan1293,0.1666666666666666,0.1075258912744664,eng,1.0,0.48444160884135307,0.6843,1.3375,1.2006,0.823
18,sain1246,stan1293,0.2432432432432432,0.2002222561544595,eng,0.9386000037193298,0.3309597459422684,0.6843,1.3375,1.2006,0.823
19,east2379,stan1288,0.2545454545454545,0.1820050387886951,spa,1.0,0.7427864554303816,0.4419,0.5424,0.6527,0.4734
20,amel1241,stan1288,0.2616822429906542,0.1469751439313916,spa,1.0,0.7068400442786124,0.3054,0.5329,0.4685,0.2944
21,agut1237,stan1288,0.3063063063063063,0.2427613435520118,spa,1.0,0.7505253534579264,0.5222,1.2476,1.3012,0.7039
22,achi1256,stan1288,0.2882882882882883,0.187057687057687,spa,1.0,0.19041825367991339,0.5506,1.2476,1.3012,0.7213
23,anga1290,stan1288,0.1621621621621621,0.0948529814509196,spa,1.0,0.7068400442786124,0.5237,0.5002,0.6946,0.5525
24,abau1245,stan1288,0.2792792792792792,0.2007354948531419,spa,1.0,0.7068400442786124,0.4825,0.4562,0.8706,0.5001
25,ango1254,stan1288,0.2252252252252252,0.1670054022995199,spa,1.0,0.7068400442786124,0.3485,1.2476,1.3012,0.531
26,achu1248,stan1288,0.2545454545454545,0.1399923605805958,spa,1.0,0.19167321395875925,0.5339,0.5096,0.7583,0.6002
27,anem1248,stan1288,0.1619047619047619,0.0940402697902045,spa,1.0,0.7068400442786124,0.4606,1.2476,1.3012,0.58
28,anka1246,stan1288,0.1891891891891892,0.1058075656475917,spa,1.0,0.7068400442786124,0.4606,1.2476,1.3012,0.58
29,arif1239,stan1288,0.2522522522522522,0.1060190625408016,spa,1.0,0.7068400442786124,0.4387,1.2476,1.3012,0.5693
30,ambu1247,stan1288,0.1818181818181818,0.1278789860025558,spa,1.0,0.7068400442786124,0.4433,0.4338,0.7634,0.4767
31,cent2084,stan1288,0.25,0.1384884228920926,spa,1.0,0.7505253534579264,0.52,1.2476,1.3012,0.7035
32,agua1253,stan1288,0.2612612612612612,0.1242690058479532,spa,1.0,0.21766778151127042,0.5622,0.5894,0.7829,0.6159
33,sain1246,stan1288,0.2792792792792792,0.173654107720668,spa,0.460099995136261,0.21776030878667132,0.4606,1.2476,1.3012,0.58
34,agar1252,stan1288,0.2612612612612612,0.1245318045318045,spa,1.0,0.7068400442786124,0.3964,1.2476,1.3012,0.5498
35,inab1237,stan1288,0.2342342342342342,0.19437170089344,spa,1.0,0.7505253534579264,0.4606,1.2476,1.3012,0.58
36,amar1273,stan1288,0.287037037037037,0.1854199026612819,spa,1.0,0.7899759060749157,0.4606,1.2476,1.3012,0.58
37,agua1252,stan1288,0.209090909090909,0.1365418894830659,spa,1.0,0.19041825367991339,0.4364,1.2476,1.2809,0.5659
38,abau1245,stan1295,0.2162162162162162,0.133675349205979,deu,1.0,0.6725621960973254,0.4595,0.5939,0.7771,0.4929
39,anga1290,stan1295,0.1441441441441441,0.0363197843512804,deu,1.0,0.6725621960973254,0.4905,0.5484,0.5996,0.5315
40,sain1246,stan1295,0.1621621621621621,0.0795795795795795,deu,0.9247999787330629,0.23429340933036802,0.4297,1.3198,1.2237,0.5873
41,ango1254,stan1295,0.1531531531531531,0.0537564661435629,deu,1.0,0.6725621960973254,0.3101,1.3198,1.2237,0.541
42,ambu1247,stan1295,0.2,0.1111259605746742,deu,1.0,0.6725621960973254,0.3879,0.5565,0.6561,0.4474
43,agut1237,stan1295,0.2432432432432432,0.1685394667850808,deu,1.0,0.5275968753037936,0.4931,1.3198,1.2237,0.7083
44,east2379,stan1295,0.1818181818181818,0.0952848321269373,deu,1.0,0.7222194242540498,0.3983,0.6349,0.5126,0.4517
45,arif1239,stan1295,0.2522522522522522,0.1365365365365365,deu,1.0,0.6725621960973254,0.3991,1.3198,1.2237,0.5735
46,amar1273,stan1295,0.2129629629629629,0.1388099976171616,deu,1.0,0.5699620490183913,0.4297,1.3198,1.2237,0.5873
47,agar1252,stan1295,0.2522522522522522,0.1325114893099464,deu,1.0,0.6725621960973254,0.3411,1.3198,1.2237,0.5497
48,amel1241,stan1295,0.1401869158878504,0.0703426791277258,deu,1.0,0.6725621960973254,0.2465,0.5372,0.3891,0.2586
